!Title = 01-2010-LINC-MAIZ-MODE   
NitrogenTreat date LightInt LightInterror
() () () (stdev)
Med 24/11/2010 0.00 0.00
Med 3/12/2010 0.14 0.03
Med 9/12/2010 0.16 0.04
Med 17/12/2010 0.43 0.04
Med 23/12/2010 0.55 0.07
Med 30/12/2010 0.72 0.02
Med 6/01/2011 0.74 0.07
Med 10/01/2011 0.83 0.04
Med 13/01/2011 0.78 0.04
Med 19/01/2011 0.82 0.02
Med 26/01/2011 0.90 0.02
Med 27/01/2011 0.85 0.03
Med 1/02/2011 0.84 0.08
Med 9/02/2011 0.84 0.03
Med 16/02/2011 0.90 0.04
Med 24/02/2011 0.81 0.04
Med 3/03/2011 0.82 0.04
Med 9/03/2011 0.85 0.04
Med 16/03/2011 0.80 0.03
Med 28/03/2011 0.73 0.08
Med 7/04/2011 0.63 0.05
Nil 24/11/2010 0.01 0.01
Nil 3/12/2010 0.17 0.03
Nil 9/12/2010 0.20 0.03
Nil 17/12/2010 0.42 0.02
Nil 23/12/2010 0.53 0.02
Nil 30/12/2010 0.71 0.04
Nil 6/01/2011 0.72 0.05
Nil 10/01/2011 0.84 0.02
Nil 13/01/2011 0.77 0.02
Nil 19/01/2011 0.83 0.03
Nil 26/01/2011 0.90 0.01
Nil 27/01/2011 0.85 0.04
Nil 1/02/2011 0.81 0.04
Nil 9/02/2011 0.82 0.05
Nil 16/02/2011 0.89 0.03
Nil 24/02/2011 0.84 0.03
Nil 3/03/2011 0.80 0.03
Nil 9/03/2011 0.83 0.02
Nil 16/03/2011 0.81 0.03
Nil 28/03/2011 0.76 0.05
Nil 7/04/2011 0.63 0.03
