!Title = 02-2008-LINC-MAIZ-PLAS               
Variety Mulch Sow Date AboveDM AboveDMerror StemLeafDM StemLeafDMerror StemDM StemDMerror LeafDM LeafDMerror RachisHuskDM RachisHuskDMerror GrainDM GrainDMerror
() () () () (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev)
34K77 Bare Early 24/04/2009 26540 3281 * * 8234 1206 3103 304 2763 325 12439 2164
34K77 Bare Late 7/01/2009 855 190 * * * * * * * * * *
34K77 Bare Late 27/01/2009 5453 803 * * * * * * * * * *
34K77 Bare Late 13/02/2009 11895 866 * * * * * * * * * *
34K77 Bare Late 5/03/2009 14397 507 13887 346 * * * * 510 211 * *
34K77 Bare Late 23/03/2009 16576 2054 15645 596 * * * * 2795 * * *
34K77 Bare Late 21/04/2009 20687 4375 15265 3487 * * * * 2229 314 3194 755
34K77 Bare Late 24/04/2009 20948 1017 * * 11657 832 3712 165 2173 292 3406 1135
34K77 Plastic Early 23/03/2009 26973 2502 * * 6707 922 2534 235 2729 310 15003 1104
34K77 Plastic Late 7/01/2009 1962 252 * * * * * * * * * *
34K77 Plastic Late 27/01/2009 7340 1741 * * * * * * * * * *
34K77 Plastic Late 13/02/2009 11486 1024 * * * * * * * * * *
34K77 Plastic Late 5/03/2009 17842 805 14784 836 * * * * 3058 634 * *
34K77 Plastic Late 23/03/2009 18578 1492 13702 592 * * * * 2669 240 3312 1419
34K77 Plastic Late 21/04/2009 24685 4986 12283 2369 * * * * 2801 522 9601 2289
34K77 Plastic Late 24/04/2009 23914 459 * * 7807 354 3389 127 2452 198 10265 510
39G12 Bare Early 23/03/2009 22087 3137 * * 5871 1166 1905 240 2096 317 12215 1436
39G12 Bare Late 7/01/2009 1275 255 * * * * * * * * * *
39G12 Bare Late 27/01/2009 6032 321 * * * * * * * * * *
39G12 Bare Late 13/02/2009 11440 1006 * * * * * * * * * *
39G12 Bare Late 5/03/2009 16164 2041 13204 1125 * * * * 2961 1114 * *
39G12 Bare Late 23/03/2009 20973 572 13300 959 * * * * 2558 252 5115 357
39G12 Bare Late 21/04/2009 22294 1716 9593 1143 * * * * 2118 106 10583 658
39G12 Bare Late 24/04/2009 21804 2355 * * 7072 1239 2689 142 2028 190 10015 806
39G12 Plastic Early 6/03/2009 21686 2853 * * 5632 1116 1642 143 2018 161 12395 1516
39G12 Plastic Late 7/01/2009 2677 458 * * * * * * * * * *
39G12 Plastic Late 27/01/2009 7924 1535 * * * * * * * * * *
39G12 Plastic Late 13/02/2009 10780 1214 * * * * * * * * * *
39G12 Plastic Late 5/03/2009 17264 582 11752 1019 * * * * 2068 283 3444 1049
39G12 Plastic Late 23/03/2009 22304 3860 10579 1741 * * * * 2433 442 9292 1761
39G12 Plastic Late 3/04/2009 24206 3103 * * 7518 1035 2586 387 2325 93 11777 1689
