!Title = 03-2007-LINC-MAIZ-PLAS              
Variety Mulch Date AboveDM AboveDMerror LeafDM LeafDMerror StemDM StemDMerror GrainDM GrainDMerror HuskDM HuskDMerror RachisDM RachisDMerror
() () () (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev)
38H20 Bare 9/01/2008 5998 1017 2517 407 3480 610 * * * * * *
38H20 Bare 31/01/2008 13388 803 3943 114 7935 619 * * * * * *
38H20 Plastic 9/01/2008 8306 1689 2919 470 5387 1226 * * * * * *
38H20 Plastic 31/01/2008 14290 1567 3201 244 7543 680 * * * * * *
38H20 Plastic 18/03/2008 33323 4686 4347 609 8875 1619 14829 2052 1884 397 3387 450
38H20 Plastic 25/03/2008 32915 5328 4289 649 7713 1236 16361 2801 1455 334 3097 454
39G12 Bare 9/01/2008 6739 1418 2716 528 4023 891 * * * * * *
39G12 Bare 31/01/2008 11293 1728 3043 472 6612 1012 * * * * * *
39G12 Bare 31/03/2008 27547 1739 3841 319 6664 864 13591 484 1250 66 2202 98
39G12 Plastic 9/01/2008 9020 1114 2723 297 6297 829 * * * * * *
39G12 Plastic 31/01/2008 15332 1129 2916 252 7873 331 * * * * * *
39G12 Plastic 18/03/2008 29890 4041 3468 521 7051 1260 15260 1966 1610 245 2502 379
