!Title = 03-2007-LINC-MAIZ-PLAS    
Variety Mulch Date LightInt LightInterror
() () () () (stdev)
38H20 Bare 28/11/2007 0.11 0.02
38H20 Bare 4/12/2007 0.14 0.02
38H20 Bare 16/12/2007 0.44 0.05
38H20 Bare 23/12/2007 0.66 0.03
38H20 Bare 8/01/2008 0.90 0.03
38H20 Bare 17/01/2008 0.93 0.03
38H20 Bare 17/02/2008 0.98 0.02
38H20 Plastic 28/11/2007 0.22 0.13
38H20 Plastic 4/12/2007 0.39 0.06
38H20 Plastic 16/12/2007 0.79 0.04
38H20 Plastic 23/12/2007 0.84 0.03
38H20 Plastic 8/01/2008 0.91 0.05
38H20 Plastic 17/01/2008 0.94 0.01
38H20 Plastic 17/02/2008 0.96 0.02
39G12 Bare 28/11/2007 0.05 0.03
39G12 Bare 4/12/2007 0.14 0.02
39G12 Bare 16/12/2007 0.47 0.04
39G12 Bare 23/12/2007 0.66 0.10
39G12 Bare 8/01/2008 0.90 0.04
39G12 Bare 17/01/2008 0.95 0.04
39G12 Bare 17/02/2008 0.96 0.03
39G12 Plastic 28/11/2007 0.23 0.08
39G12 Plastic 4/12/2007 0.33 0.03
39G12 Plastic 16/12/2007 0.70 0.07
39G12 Plastic 23/12/2007 0.81 0.03
39G12 Plastic 8/01/2008 0.92 0.03
39G12 Plastic 17/01/2008 0.96 0.01
39G12 Plastic 17/02/2008 0.94 0.05
