!Title = 06-2008-LINC-MAIZ-SHYB     
Variety Date LeafLigules LeafLiguleserror LeafTips LeafTipserror
() () (n) (stdev) (n) (stdev)
39D34 27/11/2008 3.00 0.00 5.20 0.00
39D34 5/12/2008 3.93 0.12 6.60 0.35
39D34 17/12/2008 5.20 0.20 9.00 0.20
39D34 23/12/2008 6.07 0.12 9.87 0.12
39D34 30/12/2008 6.53 0.23 11.33 0.12
39D34 8/01/2009 8.60 0.20 13.40 0.92
39D34 19/01/2009 12.27 0.31 14.47 0.61
39D34 28/01/2009 14.80 0.87 14.80 0.87
39G12 27/11/2008 2.93 0.12 5.60 0.20
39G12 5/12/2008 4.00 0.20 7.00 0.20
39G12 17/12/2008 5.87 0.31 9.93 0.23
39G12 23/12/2008 6.53 0.12 10.67 0.31
39G12 30/12/2008 6.87 0.12 12.00 0.00
39G12 8/01/2009 9.27 0.12 14.60 0.40
39G12 19/01/2009 12.60 0.40 15.87 0.12
39G12 28/01/2009 16.53 0.42 16.93 0.12
39V43 27/11/2008 2.60 0.53 5.13 0.42
39V43 5/12/2008 3.67 0.58 6.33 0.58
39V43 17/12/2008 5.13 0.23 8.80 0.72
39V43 23/12/2008 5.87 0.23 9.67 0.70
39V43 30/12/2008 6.40 0.35 11.20 0.72
39V43 8/01/2009 8.73 0.81 12.93 0.50
39V43 19/01/2009 12.13 0.90 13.73 0.23
39V43 28/01/2009 13.80 0.35 13.87 0.23
