!Title = 10-2009-HAWK-MAIZ-PHEN    
Variety Sow Date LeafLigules LeafLiguleserror
() () ()  (n) (stdev)
33M54 Early 27/01/2010 21.20 *
33M54 Early 28/01/2010 21.40 *
33M54 Late 8/02/2010 20.00 *
33M54 Late 10/02/2010 21.20 *
34D71 Early 22/01/2010 19.40 *
34D71 Early 23/01/2010 20.20 *
34D71 Late 4/02/2010 20.80 *
34D71 Late 5/02/2010 20.00 *
35Y33 Early 19/01/2010 19.00 *
35Y33 Early 20/01/2010 18.80 *
35Y33 Late 3/02/2010 19.40 *
35Y33 Late 3/02/2010 19.00 *
36H36 Early 18/01/2010 18.60 *
36H36 Early 22/01/2010 18.80 *
36H36 Late 1/02/2010 18.60 *
36H36 Late 1/02/2010 18.40 *
37D25 Early 18/01/2010 18.20 *
37D25 Early 18/01/2010 17.75 *
37D25 Late 1/02/2010 18.20 *
37D25 Late 1/02/2010 18.20 *
38P05 Early 15/01/2010 19.00 *
38P05 Early 18/01/2010 18.80 *
38P05 Late 29/01/2010 19.00 *
38P05 Late 29/01/2010 19.40 *
39G12 Early 14/01/2010 16.70 0.42
39G12 Late 27/01/2010 17.00 *
39G12 Late 29/01/2010 16.20 *
CTL100 Early 18/01/2010 19.00 *
CTL100 Early 20/01/2010 19.00 *
CTL100 Late 3/02/2010 19.20 *
CTL100 Late 5/02/2010 20.40 *
CTL90 Early 16/01/2010 20.20 *
CTL90 Early 18/01/2010 20.40 *
CTL90 Late 1/02/2010 20.60 *
CTL90 Late 1/02/2010 20.80 *
DK624 Early 1/02/2010 21.20 *
DK624 Early 1/02/2010 21.80 *
DK624 Late 11/02/2010 21.90 0.14
DKC37-12 Early 14/01/2010 17.20 *
DKC37-12 Early 15/01/2010 17.60 *
DKC37-12 Late 29/01/2010 17.40 *
DKC37-12 Late 29/01/2010 18.00 *
DKC5783 Early 21/01/2010 19.60 0.28
DKC5783 Late 4/02/2010 20.60 *
DKC5783 Late 5/02/2010 20.80 *
Goldfrank Early 18/01/2010 18.20 *
Goldfrank Early 20/01/2010 18.60 *
Goldfrank Late 2/02/2010 18.60 *
Goldfrank Late 3/02/2010 18.60 *
N48K2 Early 22/01/2010 19.40 *
N48K2 Early 23/01/2010 19.80 *
N48K2 Late 3/02/2010 19.00 *
N48K2 Late 5/02/2010 20.00 *
N51-N4 Early 21/01/2010 18.60 *
N51-N4 Early 22/01/2010 18.40 *
N51-N4 Late 3/02/2010 19.40 *
N51-N4 Late 5/02/2010 18.80 *
