!Title = 15-2010-HAWK-MAIZ-HYBR				
Sow	Variety	Date	LeafLigules	LeafLiguleserror
()	()	()	(n)	(stdev)
Early	 33M54	28/10/2010	1.00	0.00
Early	 33M54	4/11/2010	1.33	0.48
Early	 33M54	8/11/2010	2.62	0.59
Early	 33M54	11/11/2010	2.86	0.85
Early	 33M54	15/11/2010	4.19	0.75
Early	 33M54	18/11/2010	4.67	0.73
Early	 33M54	22/11/2010	5.38	0.59
Early	 33M54	25/11/2010	5.67	0.66
Early	 33M54	29/11/2010	5.81	0.60
Early	 33M54	3/12/2010	5.90	0.62
Early	 33M54	6/12/2010	7.52	0.51
Early	 33M54	9/12/2010	7.62	0.50
Early	 33M54	13/12/2010	8.76	0.70
Early	 33M54	16/12/2010	9.62	0.80
Early	 33M54	20/12/2010	10.19	0.68
Early	 33M54	23/12/2010	11.10	0.70
Early	 33M54	27/12/2010	12.05	1.20
Early	 33M54	3/01/2011	13.81	1.33
Early	 33M54	6/01/2011	14.71	1.68
Early	 33M54	10/01/2011	18.67	1.77
Early	 33M54	14/01/2011	19.86	1.39
Early	 38H20	28/10/2010	1.00	0.00
Early	 38H20	4/11/2010	1.00	0.00
Early	 38H20	8/11/2010	1.90	0.44
Early	 38H20	11/11/2010	2.10	0.30
Early	 38H20	15/11/2010	3.29	0.64
Early	 38H20	18/11/2010	3.71	0.56
Early	 38H20	22/11/2010	4.86	0.36
Early	 38H20	25/11/2010	4.86	0.57
Early	 38H20	29/11/2010	5.19	0.60
Early	 38H20	3/12/2010	5.29	0.46
Early	 38H20	6/12/2010	6.57	0.60
Early	 38H20	9/12/2010	6.76	0.54
Early	 38H20	13/12/2010	7.81	0.75
Early	 38H20	16/12/2010	8.48	0.75
Early	 38H20	20/12/2010	9.05	0.74
Early	 38H20	23/12/2010	9.71	1.45
Early	 38H20	27/12/2010	11.10	1.30
Early	 38H20	3/01/2011	14.25	1.80
Early	 38H20	6/01/2011	15.40	2.66
Early	 38H20	10/01/2011	18.00	0.39
Early	 38H20	17/01/2011	19.29	1.38
Early	 39V43	28/10/2010	1.12	0.33
Early	 39V43	4/11/2010	1.38	0.50
Early	 39V43	8/11/2010	2.52	0.60
Early	 39V43	11/11/2010	2.71	0.46
Early	 39V43	15/11/2010	3.71	0.46
Early	 39V43	18/11/2010	4.43	0.51
Early	 39V43	22/11/2010	5.05	0.74
Early	 39V43	25/11/2010	5.33	0.58
Early	 39V43	29/11/2010	5.57	0.51
Early	 39V43	3/12/2010	5.57	0.51
Early	 39V43	6/12/2010	6.43	0.51
Early	 39V43	9/12/2010	6.86	0.73
Early	 39V43	13/12/2010	8.52	0.75
Early	 39V43	16/12/2010	9.71	0.85
Early	 39V43	20/12/2010	10.24	1.26
Early	 39V43	23/12/2010	13.57	1.69
Early	 39V43	27/12/2010	14.29	0.78
Early	 39V43	3/01/2011	14.14	0.38
Early	 39V43	6/01/2011	14.14	0.38
Late	 33M54	20/12/2010	2.71	0.72
Late	 33M54	23/12/2010	3.52	0.51
Late	 33M54	27/12/2010	4.29	0.64
Late	 33M54	3/01/2011	5.86	0.36
Late	 33M54	6/01/2011	6.48	0.51
Late	 33M54	10/01/2011	7.29	0.64
Late	 33M54	14/01/2011	7.62	0.74
Late	 33M54	17/01/2011	8.29	0.64
Late	 33M54	26/01/2011	10.33	0.80
Late	 33M54	31/01/2011	12.57	1.25
Late	 33M54	3/02/2011	14.05	1.28
Late	 33M54	7/02/2011	15.75	1.33
Late	 33M54	10/02/2011	18.35	1.31
Late	 33M54	15/02/2011	20.25	1.48
Late	 33M54	4/03/2011	20.36	0.93
Late	 38H20	20/12/2010	2.57	0.51
Late	 38H20	23/12/2010	3.00	0.55
Late	 38H20	27/12/2010	3.71	0.46
Late	 38H20	3/01/2011	5.14	0.57
Late	 38H20	6/01/2011	5.71	0.72
Late	 38H20	10/01/2011	6.71	0.72
Late	 38H20	14/01/2011	7.05	0.86
Late	 38H20	17/01/2011	7.62	0.74
Late	 38H20	26/01/2011	10.00	1.10
Late	 38H20	31/01/2011	13.00	1.41
Late	 38H20	3/02/2011	15.45	2.21
Late	 38H20	7/02/2011	16.38	1.75
Late	 38H20	10/02/2011	16.00	2.24
Late	 38H20	15/02/2011	17.14	1.46
Late	 38H20	4/03/2011	17.29	1.11
Late	 39V43	20/12/2010	2.81	0.40
Late	 39V43	23/12/2010	3.43	0.51
Late	 39V43	27/12/2010	3.95	0.22
Late	 39V43	3/01/2011	5.33	0.48
Late	 39V43	6/01/2011	5.86	0.48
Late	 39V43	10/01/2011	7.05	0.59
Late	 39V43	14/01/2011	7.71	0.56
Late	 39V43	17/01/2011	8.57	0.68
Late	 39V43	26/01/2011	11.57	0.68
Late	 39V43	31/01/2011	14.62	0.59
Mid	 33M54	25/11/2010	2.86	0.36
Mid	 33M54	29/11/2010	3.10	0.70
Mid	 33M54	3/12/2010	3.71	0.46
Mid	 33M54	6/12/2010	4.76	0.44
Mid	 33M54	9/12/2010	4.81	0.40
Mid	 33M54	13/12/2010	6.05	0.50
Mid	 33M54	16/12/2010	6.67	0.48
Mid	 33M54	20/12/2010	7.62	0.59
Mid	 33M54	23/12/2010	8.52	0.51
Mid	 33M54	27/12/2010	9.29	0.56
Mid	 33M54	3/01/2011	10.29	0.85
Mid	 33M54	6/01/2011	10.76	0.89
Mid	 33M54	10/01/2011	13.71	1.15
Mid	 33M54	14/01/2011	14.29	1.62
Mid	 33M54	17/01/2011	17.33	1.24
Mid	 33M54	26/01/2011	19.67	0.91
Mid	 33M54	31/01/2011	18.93	5.20
Mid	 38H20	25/11/2010	2.35	0.49
Mid	 38H20	29/11/2010	2.52	0.75
Mid	 38H20	3/12/2010	3.19	0.60
Mid	 38H20	6/12/2010	4.00	0.55
Mid	 38H20	9/12/2010	4.00	0.55
Mid	 38H20	13/12/2010	5.75	0.44
Mid	 38H20	16/12/2010	6.30	0.47
Mid	 38H20	20/12/2010	7.00	0.56
Mid	 38H20	23/12/2010	7.90	0.45
Mid	 38H20	27/12/2010	9.00	0.79
Mid	 38H20	3/01/2011	10.55	0.69
Mid	 38H20	6/01/2011	11.20	1.11
Mid	 38H20	10/01/2011	14.75	0.79
Mid	 38H20	14/01/2011	16.89	1.29
Mid	 38H20	17/01/2011	18.16	0.60
Mid	 39V43	25/11/2010	2.86	0.36
Mid	 39V43	29/11/2010	2.90	0.30
Mid	 39V43	3/12/2010	3.14	0.36
Mid	 39V43	6/12/2010	4.05	0.22
Mid	 39V43	9/12/2010	4.05	0.22
Mid	 39V43	13/12/2010	5.48	0.51
Mid	 39V43	16/12/2010	6.38	0.59
Mid	 39V43	20/12/2010	7.19	0.51
Mid	 39V43	23/12/2010	8.14	0.57
Mid	 39V43	27/12/2010	9.48	0.60
Mid	 39V43	3/01/2011	12.17	1.72
Mid	 39V43	6/01/2011	14.06	0.54
Mid	 39V43	10/01/2011	15.00	0.00
