!Title = 15-2010-HAWK-MAIZ-HYBR				
Sow	Variety	Date	LeafTips	LeafTipserror
()	()	()	(n)	(stdev)
Early	 33M54	28/10/2010	3.86	0.36
Early	 33M54	4/11/2010	4.95	0.67
Early	 33M54	8/11/2010	5.43	0.51
Early	 33M54	11/11/2010	6.29	0.72
Early	 33M54	15/11/2010	7.24	0.94
Early	 33M54	18/11/2010	8.05	0.86
Early	 33M54	22/11/2010	9.43	1.08
Early	 33M54	25/11/2010	9.71	1.23
Early	 33M54	29/11/2010	10.81	1.29
Early	 33M54	3/12/2010	11.52	1.36
Early	 33M54	6/12/2010	12.24	0.77
Early	 33M54	9/12/2010	13.05	0.97
Early	 33M54	13/12/2010	14.24	1.18
Early	 33M54	16/12/2010	15.19	1.29
Early	 33M54	20/12/2010	15.95	1.16
Early	 33M54	23/12/2010	17.00	1.14
Early	 33M54	27/12/2010	17.38	1.12
Early	 33M54	3/01/2011	18.19	0.87
Early	 33M54	6/01/2011	18.71	0.96
Early	 33M54	10/01/2011	19.71	1.19
Early	 33M54	14/01/2011	20.14	1.20
Early	 33M54	17/01/2011	20.29	0.76
Early	 38H20	28/10/2010	3.24	0.44
Early	 38H20	4/11/2010	4.43	0.60
Early	 38H20	8/11/2010	4.90	0.54
Early	 38H20	11/11/2010	5.76	0.62
Early	 38H20	15/11/2010	6.62	0.74
Early	 38H20	18/11/2010	7.38	0.74
Early	 38H20	22/11/2010	8.57	0.81
Early	 38H20	25/11/2010	8.90	0.77
Early	 38H20	29/11/2010	10.10	1.00
Early	 38H20	3/12/2010	10.57	0.93
Early	 38H20	6/12/2010	11.14	1.06
Early	 38H20	9/12/2010	12.00	1.00
Early	 38H20	13/12/2010	13.24	1.22
Early	 38H20	16/12/2010	13.95	0.86
Early	 38H20	20/12/2010	14.86	0.91
Early	 38H20	23/12/2010	15.33	0.97
Early	 38H20	27/12/2010	15.62	0.86
Early	 38H20	3/01/2011	16.80	1.15
Early	 38H20	6/01/2011	17.35	1.04
Early	 38H20	10/01/2011	18.00	0.39
Early	 38H20	14/01/2011	18.00	0.58
Early	 39V43	28/10/2010	3.71	0.56
Early	 39V43	4/11/2010	5.05	0.67
Early	 39V43	8/11/2010	5.38	0.59
Early	 39V43	11/11/2010	6.24	0.77
Early	 39V43	15/11/2010	7.19	0.81
Early	 39V43	18/11/2010	8.00	0.71
Early	 39V43	22/11/2010	9.14	0.79
Early	 39V43	25/11/2010	9.62	1.02
Early	 39V43	29/11/2010	10.71	1.01
Early	 39V43	3/12/2010	11.24	1.00
Early	 39V43	6/12/2010	11.71	1.06
Early	 39V43	9/12/2010	12.33	0.86
Early	 39V43	13/12/2010	13.38	0.80
Early	 39V43	16/12/2010	13.52	0.75
Early	 39V43	20/12/2010	14.14	0.79
Early	 39V43	23/12/2010	14.43	0.60
Early	 39V43	27/12/2010	14.43	0.60
Early	 39V43	3/01/2011	14.17	0.41
Early	 39V43	6/01/2011	14.17	0.41
Late	 33M54	20/12/2010	5.38	0.59
Late	 33M54	23/12/2010	6.24	0.77
Late	 33M54	27/12/2010	7.19	0.75
Late	 33M54	3/01/2011	9.62	0.86
Late	 33M54	6/01/2011	10.52	0.81
Late	 33M54	10/01/2011	11.76	1.00
Late	 33M54	14/01/2011	12.86	1.01
Late	 33M54	17/01/2011	13.67	1.02
Late	 33M54	26/01/2011	16.19	1.08
Late	 33M54	31/01/2011	16.57	1.08
Late	 33M54	3/02/2011	17.60	0.68
Late	 33M54	7/02/2011	18.30	0.86
Late	 33M54	10/02/2011	19.25	1.02
Late	 33M54	15/02/2011	20.40	1.05
Late	 33M54	4/03/2011	20.14	1.07
Late	 38H20	20/12/2010	5.24	0.70
Late	 38H20	23/12/2010	5.95	0.80
Late	 38H20	27/12/2010	7.14	0.73
Late	 38H20	3/01/2011	9.38	1.02
Late	 38H20	6/01/2011	10.19	1.17
Late	 38H20	10/01/2011	11.52	1.25
Late	 38H20	14/01/2011	12.24	1.51
Late	 38H20	17/01/2011	12.95	1.36
Late	 38H20	26/01/2011	14.76	1.18
Late	 38H20	31/01/2011	15.57	0.98
Late	 38H20	3/02/2011	16.55	1.05
Late	 38H20	7/02/2011	17.00	1.10
Late	 38H20	10/02/2011	17.00	1.41
Late	 38H20	15/02/2011	17.29	1.11
Late	 39V43	20/12/2010	5.62	0.59
Late	 39V43	23/12/2010	6.29	0.72
Late	 39V43	27/12/2010	7.10	0.55
Late	 39V43	3/01/2011	9.38	0.74
Late	 39V43	6/01/2011	10.71	0.85
Late	 39V43	10/01/2011	11.76	0.70
Late	 39V43	14/01/2011	12.52	0.68
Late	 39V43	17/01/2011	12.86	0.48
Late	 39V43	26/01/2011	14.38	0.59
Late	 39V43	31/01/2011	14.62	0.59
Mid	 33M54	25/11/2010	5.86	0.36
Mid	 33M54	29/11/2010	7.05	0.50
Mid	 33M54	3/12/2010	7.81	0.51
Mid	 33M54	6/12/2010	8.76	0.44
Mid	 33M54	9/12/2010	9.52	0.68
Mid	 33M54	13/12/2010	10.76	0.83
Mid	 33M54	16/12/2010	11.62	0.74
Mid	 33M54	20/12/2010	12.71	0.96
Mid	 33M54	23/12/2010	14.05	0.92
Mid	 33M54	27/12/2010	14.76	0.70
Mid	 33M54	3/01/2011	16.10	1.09
Mid	 33M54	6/01/2011	16.76	1.00
Mid	 33M54	10/01/2011	17.05	1.07
Mid	 33M54	14/01/2011	17.48	1.03
Mid	 33M54	17/01/2011	18.00	0.89
Mid	 33M54	26/01/2011	18.71	1.14
Mid	 33M54	31/01/2011	18.86	1.29
Mid	 38H20	25/11/2010	5.35	0.49
Mid	 38H20	29/11/2010	6.76	1.00
Mid	 38H20	3/12/2010	7.57	0.93
Mid	 38H20	6/12/2010	8.43	0.98
Mid	 38H20	9/12/2010	9.24	1.00
Mid	 38H20	13/12/2010	10.85	0.75
Mid	 38H20	16/12/2010	11.90	0.85
Mid	 38H20	20/12/2010	12.90	0.72
Mid	 38H20	23/12/2010	14.05	0.76
Mid	 38H20	27/12/2010	14.90	0.97
