!Title = 18-1990-LINC-MAIZ-RAIN         
WaterTreat Date LAI LAIerror AboveDM AboveDMerror LeafDM LeafDMerror StemDM StemDMerror
() () (m2/m2) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev)
IrrigFull 20/12/1990 0.97 0.13 412 44 220 87 192 58
IrrigFull 21/01/1991 3.40 0.12 3094 203 1467 57 1627 152
IrrigFull 4/03/1991 4.93 0.57 13463 1167 2387 144 8131 594
IrrigFull 18/03/1991 4.67 0.27 16889 766 2432 159 8007 233
IrrigFull 2/04/1991 4.61 0.37 19209 2312 2575 173 7015 798
IrrigFull 15/04/1991 3.86 0.30 19956 2014 2342 205 6595 1249
IrrigFull 1/05/1991 * * 19849 1325 * * * *
Irrig1 20/12/1990 0.77 0.09 391 77 242 37 149 40
Irrig1 21/01/1991 2.04 0.72 1869 493 888 267 981 227
Irrig1 4/03/1991 3.59 0.33 11459 2634 1737 341 6550 1621
Irrig1 18/03/1991 3.44 0.04 14789 58 1741 226 5612 535
Irrig1 2/04/1991 3.89 0.11 17044 278 1986 268 5432 1165
Irrig1 15/04/1991 3.49 0.28 18569 2391 1890 114 5407 835
Irrig1 1/05/1991 * * 17521 2420 * * * *
Irrig2 20/12/1990 1.00 0.25 404 20 237 14 168 6
Irrig2 21/01/1991 1.98 0.59 1431 132 864 349 567 217
Irrig2 4/03/1991 3.28 1.24 8664 1349 1222 54 4643 398
Irrig2 18/03/1991 3.05 0.69 13278 4002 1460 306 5549 1593
Irrig2 2/04/1991 2.95 0.86 11561 232 1337 68 3516 298
Irrig2 15/04/1991 2.77 1.64 14471 1442 1242 110 3873 327
Irrig2 1/05/1991 * * 15598 2931 * * * *
Irrig3 20/12/1990 0.75 0.03 394 11 240 3 154 8
Irrig3 21/01/1991 1.54 0.09 1419 311 646 70 773 241
Irrig3 4/03/1991 3.31 0.15 10124 211 1634 17 5679 984
Irrig3 18/03/1991 2.77 0.48 9698 1355 1351 30 4234 580
Irrig3 2/04/1991 2.90 0.06 13463 1344 1565 202 3760 323
Irrig3 15/04/1991 2.76 0.08 15229 2167 1608 55 4212 106
Irrig3 1/05/1991 * * 15239 920 * * * *
Irrig4 20/12/1990 0.67 0.07 307 48 194 16 112 32
Irrig4 21/01/1991 2.79 0.01 2285 221 1096 40 1189 181
Irrig4 4/03/1991 5.75 1.74 10469 699 2016 287 6250 1129
Irrig4 18/03/1991 4.18 0.31 15760 1692 2190 228 7206 901
Irrig4 2/04/1991 3.72 0.13 17898 1844 1939 60 5357 152
Irrig4 15/04/1991 4.08 0.12 21502 2872 2384 150 6767 1441
Irrig4 1/05/1991 * * 20103 2052 * * * *
Irrig5 20/12/1990 0.84 0.07 428 9 264 2 164 11
Irrig5 21/01/1991 2.83 0.39 2618 402 1187 249 1431 153
Irrig5 4/03/1991 4.89 0.04 12799 1405 2251 100 8347 1323
Irrig5 18/03/1991 4.52 0.67 15941 1017 2179 203 8840 362
Irrig5 2/04/1991 3.86 0.05 16132 2959 2219 272 6486 1175
Irrig5 15/04/1991 4.01 0.10 18318 2224 2209 160 6372 676
Irrig5 1/05/1991 * * 19065 481 * * * *
Irrig6 20/12/1990 0.82 0.44 391 260 247 160 145 100
Irrig6 21/01/1991 2.28 0.00 2230 196 958 43 1273 153
Irrig6 4/03/1991 4.28 0.35 11689 695 1995 160 7324 555
Irrig6 18/03/1991 4.74 0.67 15276 515 2553 315 7561 130
Irrig6 2/04/1991 3.74 0.64 17640 1388 2031 476 6537 1724
Irrig6 15/04/1991 3.27 0.93 18656 2039 1696 524 5823 208
Irrig6 1/05/1991 * * 16891 2075 * * * *
Irrig7 20/12/1990 0.85 0.27 410 138 249 81 160 57
Irrig7 21/01/1991 2.87 0.62 2579 375 1194 229 1385 146
Irrig7 4/03/1991 4.49 0.56 13924 559 2478 27 8785 134
Irrig7 18/03/1991 5.84 0.91 23307 8461 3334 993 11790 4125
Irrig7 2/04/1991 4.04 0.78 17788 2014 2143 183 6434 464
Irrig7 15/04/1991 3.56 0.33 19004 1462 1907 265 6019 708
Irrig7 1/05/1991 * * 20766 349 * * * *
Irrig8 20/12/1990 0.85 0.10 409 65 257 42 152 23
Irrig8 21/01/1991 3.00 0.73 2840 1058 1230 368 1610 690
Irrig8 4/03/1991 4.25 0.69 12212 1749 2187 26 7534 607
Irrig8 18/03/1991 4.52 0.50 16066 525 2262 149 7301 1295
Irrig8 2/04/1991 4.15 0.38 18601 582 2522 104 7222 945
Irrig8 15/04/1991 3.84 0.46 18343 2164 1991 68 5354 342
Irrig8 1/05/1991 * * 19572 1772 * * * *
Irrig9 20/12/1990 0.83 0.18 393 223 234 139 160 85
Irrig9 21/01/1991 2.97 0.16 3004 14 1308 45 1696 31
Irrig9 4/03/1991 4.76 0.40 13293 676 2327 237 8037 216
Irrig9 18/03/1991 4.66 0.28 16100 1126 2415 108 7677 72
Irrig9 2/04/1991 4.06 0.29 20116 2307 2513 116 8079 1932
Irrig9 15/04/1991 4.07 0.07 20059 247 2212 87 6358 255
Irrig9 1/05/1991 * * 18586 861 * * * *
* 1/05/1991 * * 11964 370 * * * *
* 1/05/1991 * * 14887 845 * * * *
