!Title = 22-2006-CHER-MAIZ-NITR   
NitrogenTreat Date LAI LAIerror
() () (m2/m2) (stdev)
Med 4/01/2007 0.13 0.00
Med 16/01/2007 1.32 0.26
Med 26/01/2007 2.59 0.41
Med 7/02/2007 3.49 0.29
Med 27/02/2007 3.78 0.19
High 4/01/2007 0.38 0.03
High 16/01/2007 1.00 0.21
High 26/01/2007 2.06 0.37
High 7/02/2007 2.93 0.37
High 27/02/2007 3.31 0.30
Low 4/01/2007 0.13 0.00
Low 16/01/2007 1.20 0.32
Low 26/01/2007 2.30 0.41
Low 7/02/2007 3.10 0.34
Low 27/02/2007 3.37 0.28
VLow 4/01/2007 0.13 0.00
VLow 16/01/2007 1.11 0.34
VLow 26/01/2007 2.33 0.36
VLow 7/02/2007 3.09 0.31
VLow 27/02/2007 3.33 0.17
