!Title = 22-2006-CHER-MAIZ-NITR   
NitrogenTreat Date LeafTips LeafTipserror
() () (n) (stdev)
Med 4/01/2007 5.71 0.33
Med 16/01/2007 7.57 0.35
Med 26/01/2007 9.79 0.95
Med 7/02/2007 11.79 0.74
Med 27/02/2007 15.96 0.32
High 4/01/2007 5.71 0.20
High 16/01/2007 7.29 0.31
High 26/01/2007 9.18 0.38
High 7/02/2007 11.79 0.18
High 27/02/2007 16.00 0.59
Low 4/01/2007 5.93 0.14
Low 16/01/2007 7.68 0.59
Low 26/01/2007 9.54 0.55
Low 7/02/2007 11.93 0.53
Low 27/02/2007 16.04 0.18
VLow 4/01/2007 5.68 0.41
VLow 16/01/2007 7.46 0.43
VLow 26/01/2007 9.50 1.03
VLow 7/02/2007 11.54 0.66
VLow 27/02/2007 15.79 0.18
