!Title = 23-2012-LINC-MAIZ-RAIN                  
NitrogenTreat WaterTreat Date SoilMoisture(0-20) SoilMoisture(0-20)error SoilMoisture(20-40) SoilMoisture(20-40)error SoilMoisture(40-60) SoilMoisture(40-60)error SoilMoisture(60-80) SoilMoisture(60-80)error SoilMoisture(80-100) SoilMoisture(80-100)error SoilMoisture(100-120) SoilMoisture(100-120)error SoilMoisture(120-140) SoilMoisture(120-140)error SoilMoisture(140-160) SoilMoisture(140-160)error
() () () () (stdev) () (stdev) () (stdev) () (stdev) () (stdev) () (stdev) () (stdev) () (stdev)
Nil Dry 8/11/2012 0.21 0.01 * * * * * * * * * * * * * *
Nil Dry 22/11/2012 0.17 0.02 0.23 0.02 0.20 0.03 0.20 0.06 0.22 0.04 0.24 0.00 0.22 0.04 0.23 0.05
Nil Dry 29/11/2012 0.20 0.01 0.24 0.02 0.20 0.03 0.20 0.06 0.23 0.04 0.24 0.01 0.22 0.05 0.23 0.05
Nil Dry 6/12/2012 0.21 0.01 0.25 0.02 0.21 0.03 0.20 0.05 0.23 0.04 0.24 0.00 0.22 0.05 0.23 0.05
Nil Dry 13/12/2012 0.18 0.01 0.24 0.02 0.21 0.03 0.21 0.06 0.23 0.04 0.24 0.00 0.22 0.05 0.21 0.04
Nil Dry 20/12/2012 0.13 0.01 0.22 0.02 0.21 0.03 0.21 0.06 0.23 0.04 0.25 0.01 0.22 0.04 0.21 0.04
Nil Dry 27/12/2012 0.12 0.02 0.20 0.02 0.20 0.04 0.21 0.06 0.23 0.04 0.25 0.01 0.22 0.04 0.22 0.04
Nil Dry 3/01/2013 0.09 0.01 0.17 0.02 0.19 0.04 0.20 0.06 0.23 0.04 0.24 0.01 0.22 0.04 0.21 0.04
Nil Dry 10/01/2013 0.08 0.01 0.15 0.02 0.17 0.04 0.20 0.06 0.23 0.04 0.24 0.01 0.22 0.04 0.22 0.04
Nil Dry 17/01/2013 0.07 0.01 0.14 0.02 0.16 0.04 0.19 0.06 0.22 0.04 0.24 0.01 0.21 0.04 0.21 0.04
Nil Dry 24/01/2013 0.06 0.01 0.14 0.02 0.15 0.04 0.17 0.06 0.21 0.04 0.24 0.01 0.22 0.04 0.21 0.04
Nil Dry 31/01/2013 0.06 0.01 0.14 0.02 0.14 0.04 0.17 0.06 0.21 0.04 0.24 0.01 0.21 0.04 0.21 0.04
Nil Dry 7/02/2013 0.07 0.01 0.14 0.02 0.14 0.04 0.16 0.06 0.20 0.04 0.23 0.01 0.21 0.04 0.21 0.04
Nil Dry 14/02/2013 0.06 0.01 0.14 0.02 0.14 0.04 0.16 0.05 0.20 0.04 0.23 0.01 0.21 0.04 0.21 0.04
Nil Dry 21/02/2013 0.06 0.01 0.14 0.02 0.14 0.03 0.15 0.05 0.20 0.05 0.23 0.01 0.21 0.04 0.21 0.04
Nil Dry 28/02/2013 0.06 0.01 0.14 0.02 0.14 0.03 0.15 0.05 0.19 0.04 0.22 0.01 0.21 0.04 0.21 0.04
Nil Dry 7/03/2013 0.06 0.01 0.14 0.02 0.14 0.03 0.14 0.05 0.18 0.05 0.21 0.01 0.20 0.04 0.20 0.04
Nil Dry 14/03/2013 0.06 0.01 0.14 0.02 0.14 0.03 0.15 0.05 0.18 0.04 0.21 0.02 0.20 0.04 0.20 0.04
