"exp" "treat" "var" "n" "RMSD" "RMSD_mean" "R2"
"1" 1 1 "LightInt" 42 0.2 29.7 67
"2" 1 1 "AboveDM" 24 2438.8 21.1 88.9
"3" 1 1 "LAI" 6 1.5 79.4 53.8
"4" 1 1 "LeafDM" 24 457.4 30.4 53.4
"5" 1 1 "LeafLigules" 36 2.9 46.3 67.2
"6" 1 1 "StemDM" 24 2083.7 56.5 61.9
"7" 1 1 "stage_code" 44 0.7 13.3 85.5
"8" 1 1 "GrainDM" 14 1518.5 19.4 86.5
"9" 1 2 "LightInt" 21 0.2 29.7 67.7
"10" 1 2 "AboveDM" 12 3004.7 24.6 83
"11" 1 2 "LAI" 3 1.5 82.7 52
"12" 1 2 "LeafDM" 12 463.6 29.1 53.6
"13" 1 2 "LeafLigules" 18 2.8 44.2 68
"14" 1 2 "StemDM" 12 2877.1 73.3 56.6
"15" 1 2 "stage_code" 22 0.7 13.2 85.9
"16" 1 2 "GrainDM" 7 835.4 10.4 95.6
"17" 10 1 "LAI" 1 2.6 36.8 NA
"18" 10 1 "LeafLigules" 2 5.8 31 68.9
"19" 10 1 "stage_code" 6 1.2 25.5 71.5
"20" 10 1 "GrainDM" 2 1470.3 18.1 85.1
"21" 10 2 "LAI" 1 2.7 40.5 NA
"22" 10 2 "LeafLigules" 2 6.7 36.2 NA
"23" 10 2 "stage_code" 8 1.4 27.2 71.9
"24" 10 2 "GrainDM" 1 1628.7 23.3 NA
"25" 10 10 "LAI" 1 3.5 47.7 NA
"26" 10 10 "LeafLigules" 2 6.8 35.6 NA
"27" 10 10 "stage_code" 8 0.5 9.6 95.4
"28" 10 10 "GrainDM" 1 1723.1 24 NA
"29" 10 3 "LAI" 1 2.5 37.9 NA
"30" 10 3 "LeafLigules" 2 6.2 32.8 NA
"31" 10 3 "stage_code" 8 0.5 9.6 95.9
"32" 10 3 "GrainDM" 2 2279.6 23.4 NA
"33" 10 4 "LAI" 1 2.5 39.6 NA
"34" 10 4 "LeafLigules" 2 6.9 35.9 NA
"35" 10 4 "stage_code" 9 0.4 7.4 97.7
"36" 10 4 "GrainDM" 1 2525.1 39.7 NA
"37" 10 5 "LAI" 1 2.8 42.9 NA
"38" 10 5 "LeafLigules" 1 5.2 31.1 NA
"39" 10 5 "stage_code" 6 1.2 25.3 71.3
"40" 10 5 "GrainDM" 2 131.8 1.8 98.8
"41" 10 6 "LAI" 1 2.9 48.3 NA
"42" 10 6 "LeafLigules" 2 6 36.1 64
"43" 10 6 "stage_code" 9 1.5 27.5 70.8
"44" 10 6 "GrainDM" 1 1618.1 23.2 NA
"45" 10 7 "LAI" 1 4.4 48.8 NA
"46" 10 7 "LeafLigules" 2 7 32.6 NA
"47" 10 7 "stage_code" 6 0.6 12.4 97.9
"48" 10 7 "GrainDM" 1 67.5 0.8 NA
"49" 10 8 "LAI" 1 6.1 55.5 NA
"50" 10 8 "LeafLigules" 1 7.2 32.9 NA
"51" 10 8 "stage_code" 6 0.8 17 82.5
"52" 10 8 "GrainDM" 1 643.7 10.2 NA
"53" 10 9 "LAI" 1 3.1 43.4 NA
"54" 10 9 "LeafLigules" 2 5.8 31.4 NA
"55" 10 9 "stage_code" 8 0.6 11.2 95.9
"56" 10 9 "GrainDM" 1 471.3 4.8 NA
"57" 15 1 "LightInt" 7 0.1 16.2 91.9
"58" 15 1 "AboveDM" 6 5950.3 62.5 58
"59" 15 1 "LAI" 5 1.7 137.8 39.4
"60" 15 1 "LeafDM" 6 647.7 41 54.6
"61" 15 1 "LeafLigules" 19 1.8 25.3 82.4
"62" 15 1 "StemDM" 6 1107.1 39.3 72.9
"63" 15 1 "stage_code" 8 1 21.4 78.8
"64" 15 2 "LightInt" 4 0.2 27.3 83.5
"65" 15 2 "AboveDM" 7 7859.4 53.9 55.6
"66" 15 2 "LAI" 6 0.8 21.6 81.1
"67" 15 2 "LeafDM" 7 1167.4 54.8 10.6
"68" 15 2 "LeafLigules" 13 1.2 15.9 89.5
"69" 15 2 "StemDM" 7 1286.1 26.3 79.5
"70" 15 2 "stage_code" 9 1.2 27.2 80.3
"71" 15 3 "LightInt" 3 0.2 32.8 70.1
"72" 15 3 "AboveDM" 3 7257.8 39.5 65.9
"73" 15 3 "LAI" 3 0.7 17.8 84.4
"74" 15 3 "LeafDM" 3 1184.5 44.6 40
"75" 15 3 "LeafLigules" 10 0.8 11.3 90.6
"76" 15 3 "StemDM" 3 952.8 20.5 86
"77" 15 3 "stage_code" 6 1 24 81.8
"78" 15 4 "LightInt" 7 0.2 32.6 82.8
"79" 15 4 "AboveDM" 5 12345.1 88.2 41
"80" 15 4 "LAI" 4 1.2 60.8 62.8
"81" 15 4 "LeafDM" 5 1654.1 81.5 31.8
"82" 15 4 "LeafLigules" 21 1.4 18.4 90.9
"83" 15 4 "StemDM" 5 2021.3 46.9 68.3
"84" 15 4 "stage_code" 9 1.2 24.8 79.1
"85" 15 5 "LightInt" 4 0.3 39.9 48.2
"86" 15 5 "AboveDM" 6 10593.1 74.1 46.3
"87" 15 5 "LAI" 5 2 49.1 59.6
"88" 15 5 "LeafDM" 6 1816.3 67.4 26.2
"89" 15 5 "LeafLigules" 15 1.6 19.4 83.8
"90" 15 5 "StemDM" 6 2010.9 43.4 68
"91" 15 5 "stage_code" 7 0.9 23.6 84.5
"92" 15 6 "LightInt" 3 0.3 48.6 43.7
"93" 15 6 "AboveDM" 3 10138 49.8 55.8
"94" 15 6 "LAI" 3 2 43.2 61.5
"95" 15 6 "LeafDM" 3 1958.5 55.2 36.6
"96" 15 6 "LeafLigules" 15 1.7 17.4 84.3
"97" 15 6 "StemDM" 3 1218.8 24.2 82
"98" 15 6 "stage_code" 6 0.9 22.7 84.3
"99" 15 7 "LightInt" 6 0.2 31.2 81.5
"100" 15 7 "AboveDM" 6 11011.2 88.4 44
"101" 15 7 "LAI" 5 1.3 62 58
"102" 15 7 "LeafDM" 6 2071.6 89.7 24.9
"103" 15 7 "LeafLigules" 21 0.9 10.9 95.8
"104" 15 7 "StemDM" 6 1037.5 30 80.8
"105" 15 7 "stage_code" 7 1.1 24.9 80.6
"106" 15 8 "LightInt" 5 0.4 54.3 42
"107" 15 8 "AboveDM" 6 4515.9 42.8 70.6
"108" 15 8 "LAI" 5 2.5 60.3 51.8
"109" 15 8 "LeafDM" 6 2883.2 90.9 17.5
"110" 15 8 "LeafLigules" 17 1.7 17.8 83.8
"111" 15 8 "StemDM" 6 829.3 22.2 90.6
"112" 15 8 "stage_code" 6 0.7 21 90.1
"113" 15 9 "LightInt" 3 0.4 63.8 41
"114" 15 9 "AboveDM" 3 11746.5 55.4 49.2
"115" 15 9 "LAI" 5 3.5 55.8 41.2
"116" 15 9 "LeafDM" 3 2653.2 63.6 38.9
"117" 15 9 "LeafLigules" 15 2.9 27.6 74.8
"118" 15 9 "StemDM" 3 914.7 15.4 91.4
"119" 15 9 "stage_code" 7 1 23.4 82.5
"120" 18 1 "AboveDM" 7 1329 10 96
"121" 18 1 "LAI" 6 0.7 18.7 75.4
"122" 18 1 "LeafDM" 6 528.3 27.7 56.3
"123" 18 1 "StemDM" 6 1002.7 19.1 84.5
"124" 18 2 "AboveDM" 7 2542.3 21.8 85.1
"125" 18 2 "LAI" 6 1 34.8 53.3
"126" 18 2 "LeafDM" 6 558.7 39.5 44.7
"127" 18 2 "StemDM" 6 1211.8 30.1 78.6
"128" 18 10 "AboveDM" 7 1638.9 12.5 93.8
"129" 18 10 "LAI" 6 0.7 19.7 72.9
"130" 18 10 "LeafDM" 6 524.6 28.6 54
"131" 18 10 "StemDM" 6 1124.4 21.1 81.6
"132" 18 3 "AboveDM" 7 4614 49.4 68.5
"133" 18 3 "LAI" 6 1.1 43.9 53
"134" 18 3 "LeafDM" 6 690 65.1 46.7
"135" 18 3 "StemDM" 6 1998.1 65.5 59.8
"136" 18 4 "AboveDM" 7 4098.5 43.8 71.4
"137" 18 4 "LAI" 6 1.2 51.3 42.1
"138" 18 4 "LeafDM" 6 650.5 55.4 38.2
"139" 18 4 "StemDM" 6 1826.9 58.3 62.2
"140" 18 5 "AboveDM" 7 2345.7 18.6 90.7
"141" 18 5 "LAI" 6 1 28.3 59.7
"142" 18 5 "LeafDM" 6 516.8 31.6 53.2
"143" 18 5 "StemDM" 6 1066.8 23.8 85.3
"144" 18 6 "AboveDM" 7 2133 17.5 87.6
"145" 18 6 "LAI" 6 0.8 22.9 70
"146" 18 6 "LeafDM" 6 481.4 28 55.7
"147" 18 6 "StemDM" 6 1229.9 23.3 80.3
"148" 18 7 "AboveDM" 7 2559.4 21.6 84.8
"149" 18 7 "LAI" 6 1 31.4 55
"150" 18 7 "LeafDM" 6 548.3 34.7 51.2
"151" 18 7 "StemDM" 6 938.8 19.7 90.5
"152" 18 8 "AboveDM" 7 2844.5 20.4 84.7
