
this is long file 

"ExpNo" "TreatNo" "Date" "Variable" "simValue" "obsValue" "Error"
"1" 1 1 "01/02/2011" "LightInt" 0.869 0.81 0.04
"2" 1 1 "01/02/2011" "LightInt" 0.869 0.81 0.04
"3" 1 1 "02/12/2010" "AboveDM" 301.596 92 19
"4" 1 1 "02/12/2010" "AboveDM" 301.596 92 19
"5" 1 1 "02/12/2010" "LAI" 0.394 0.32 0.04
"6" 1 1 "02/12/2010" "LAI" 0.394 0.32 0.04
"7" 1 1 "02/12/2010" "LeafDM" 228.686 60 9
"8" 1 1 "02/12/2010" "LeafDM" 228.686 60 9
"9" 1 1 "02/12/2010" "LeafLigules" 5.351 3.97 0.17
"10" 1 1 "02/12/2010" "LeafLigules" 5.351 3.97 0.17
"11" 1 1 "02/12/2010" "StemDM" 55.475 32 10
"12" 1 1 "02/12/2010" "StemDM" 55.475 32 10
"13" 1 1 "03/03/2011" "LightInt" 0.867 0.8 0.03
"14" 1 1 "03/03/2011" "LightInt" 0.867 0.8 0.03
"15" 1 1 "03/12/2010" "LightInt" 0.165 0.17 0.03
"16" 1 1 "03/12/2010" "LightInt" 0.165 0.17 0.03
"17" 1 1 "05/01/2011" "LeafLigules" 14.313 10.22 1.38
"18" 1 1 "05/01/2011" "LeafLigules" 14.313 10.22 1.38
"19" 1 1 "05/11/2010" "stage_code" 3 2 0
"20" 1 1 "05/11/2010" "stage_code" 3 2 0
"21" 1 1 "06/01/2011" "LightInt" 0.875 0.72 0.05
"22" 1 1 "06/01/2011" "LightInt" 0.875 0.72 0.05
"23" 1 1 "06/04/2011" "AboveDM" 19318.66 18931 2196
"24" 1 1 "06/04/2011" "AboveDM" 19318.66 18931 2196
"25" 1 1 "06/04/2011" "GrainDM" 9529.37 11177 1200
"26" 1 1 "06/04/2011" "GrainDM" 9529.37 11177 1200
"27" 1 1 "06/04/2011" "LeafDM" 1.915 1120 236
"28" 1 1 "06/04/2011" "LeafDM" 1.915 1120 236
"29" 1 1 "06/04/2011" "StemDM" 6203.832 3905 613
"30" 1 1 "06/04/2011" "StemDM" 6203.832 3905 613
"31" 1 1 "06/12/2010" "LeafLigules" 6.391 4.36 0.49
"32" 1 1 "06/12/2010" "LeafLigules" 6.391 4.36 0.49
"33" 1 1 "07/04/2011" "LightInt" 0 0.63 0.03
