WaterTreat	NitrogenTreat	SowTreat	MulchTreat	Date	MeasuredValue	ErrorValue	MeasuredVariableID	ExperimentCropVarietyID
2	3	10	20	14/11/2012	2	0.0123	1	88
2	3	10	20	14/12/2012	10	0.02	2	88
2	3	10	20	14/01/2013	14	0.33333	1	88
2	3	10	20	14/02/2013	20	2.6521	1	88
2	3	10	21	14/11/2012	2	0.0123	1	88
2	3	10	21	14/12/2012	10	0.02	1	88
2	3	10	21	14/01/2013	14	0.33333	1	88
2	3	10	21	14/02/2013	20	2.6521	1	88
2	4	10	20	14/11/2012	2	0.0123	1	88
2	4	10	20	14/12/2012	10	0.02	1	88
2	4	10	20	14/01/2013	14	0.33333	1	88
2	4	10	20	14/02/2013	20	2.6521	1	88
2	4	10	21	14/11/2012	2	0.0123	1	88
2	4	10	21	14/12/2012	10	0.02	1	88
2	4	10	21	14/01/2013	14	0.33333	1	88
2	4	10	21	14/02/2013	20	2.6521	1	88
