treatment1	treatment2	treatment3	treatment4	Date	MeasuredValue	ErrorValue	MeasuredVariableID	ExperimentCropVarietyID
2	20	10	3	14/11/2012	2	0.0123	1	88
2	20	10	3	14/12/2012	10	0.02	1	88
2	20	10	3	14/01/2013	14	0.33333	1	88
2	20	10	3	14/02/2013	20	2.6521	1	88
2	21	10	3	14/11/2012	2	0.0123	1	88
2	21	10	3	14/12/2012	10	0.02	1	88
2	21	10	3	14/01/2013	14	0.33333	1	88
2	21	10	3	14/02/2013	20	2.6521	1	88
2	20	10	4	14/11/2012	2	0.0123	1	88
2	20	10	4	14/12/2012	10	0.02	1	88
2	20	10	4	14/01/2013	14	0.33333	1	88
2	20	10	4	14/02/2013	20	2.6521	1	4021
2	21	10	4	14/11/2012	2	0.0123	1	88
2	21	10	4	14/12/2012	10	0.02	1	88
2	21	10	4	14/01/2013	14	0.33333	1	88
2	21	10	4	14/02/2013	20	2.6521	1	88
