!Title = 01-2010-LINC-MAIZ-MODE               
NitrogenTreat Date SenesDM SenesDMerror GrainDM GrainDMerror HuskDM HuskDMerror LeafDM LeafDMerror RachisDM RachisDMerror AboveDM AboveDMerror StemDM StemDMerror
() () (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev)
Med 2/12/2010 * * * * * * 65 14 * * 146 72 82 63
Med 30/12/2010 * * * * * * 1025 222 * * 2118 536 1094 315
Med 13/01/2011 * * * * * * 1807 332 * * 5592 980 3785 705
Med 20/01/2011 * * * * 352 78 1945 112 393 25 7473 384 4783 320
Med 26/01/2011 * * * * 841 196 2008 160 627 160 8484 703 5008 282
Med 9/02/2011 8 15 1526 250 1622 108 1963 115 1942 156 12550 800 5490 415
Med 18/02/2011 0 0 4121 593 1301 310 1833 395 1931 282 14067 2353 4881 937
Med 28/02/2011 12 17 7303 633 1097 41 1835 189 1876 62 16532 1071 4409 412
Med 9/03/2011 17 12 8996 1547 1301 544 2021 305 1939 311 19193 1183 4919 678
Med 17/03/2011 29 34 10458 851 1034 198 1802 249 1755 117 19374 1237 4298 558
Med 28/03/2011 149 109 11923 732 875 72 1551 71 1673 190 20434 1416 4263 455
Med 6/04/2011 431 102 12106 176 800 106 1250 115 1744 51 20440 208 4110 132
Nil 2/12/2010 * * * * * * 60 9 * * 92 19 32 10
Nil 30/12/2010 * * * * * * 1010 77 * * 2087 152 1077 97
Nil 13/01/2011 * * * * * * 1814 118 * * 5756 383 3942 307
Nil 20/01/2011 * * * * 269 101 1636 174 216 58 5990 409 3869 269
Nil 26/01/2011 * * * * 916 136 1842 104 681 128 7975 356 4536 162
Nil 9/02/2011 35 30 1387 239 1409 179 1751 97 1620 153 11006 708 4805 306
Nil 18/02/2011 60 91 3613 652 1178 125 1702 170 1583 178 12718 773 4582 405
Nil 28/02/2011 30 35 7073 367 1069 44 1943 148 1742 203 16536 1112 4679 520
Nil 9/03/2011 55 23 9182 694 956 129 1889 166 1693 193 18120 1520 4346 482
Nil 17/03/2011 39 39 10525 689 868 79 1760 73 1559 163 18821 1360 4072 411
Nil 28/03/2011 361 155 11895 983 826 81 1522 111 1643 123 20637 1691 4390 514
Nil 6/04/2011 567 155 11177 1200 719 124 1120 236 1445 206 18931 2196 3905 613
