!Title = 01-2010-LINC-MAIZ-MODE     
NitrogenTreat date Tassel Tasselerror Silk Silkerror
() () (apsimcode) (stdev) (apsimcode) (stdev)
Med 10/01/2011 5.9 0.09 6.0 0.00
Med 13/01/2011 6.0 0.02 6.1 0.06
Med 15/01/2011 6.0 0.02 6.1 0.05
Med 17/01/2011 6.0 0.00 6.6 0.25
Med 18/01/2011 6.0 0.00 6.8 0.19
Med 19/01/2011 6.0 0.00 6.9 0.09
Med 20/01/2011 6.0 0.00 6.9 0.08
Med 24/01/2011 6.0 0.00 7.0 0.00
Nil 10/01/2011 5.7 0.21 6.0 0.00
Nil 13/01/2011 5.9 0.07 6.0 0.03
Nil 15/01/2011 6.0 0.05 6.0 0.03
Nil 17/01/2011 6.0 0.00 6.6 0.17
Nil 18/01/2011 6.0 0.00 6.8 0.13
Nil 19/01/2011 6.0 0.00 6.9 0.11
Nil 20/01/2011 6.0 0.00 6.9 0.12
Nil 24/01/2011 6.0 0.00 7.0 0.02
