!Title = 01-2010-LINC-MAIZ-MODE     
NitrogenTreat Date LeafTips LeafTipserror LeafLigules LeafLiguleserror
() () (n) (stdev) (n) (stdev)
Med 15/11/2010 3.92 0.28 1.00 0.00
Med 19/11/2010 4.30 0.47 2.00 0.00
Med 23/11/2010 5.00 0.00 2.56 0.50
Med 25/11/2010 5.33 0.48 2.97 0.17
Med 29/11/2010 6.42 0.50 3.39 0.49
Med 2/12/2010 7.00 0.41 3.97 0.17
Med 6/12/2010 7.75 0.44 4.36 0.49
Med 10/12/2010 8.22 0.48 4.89 0.32
Med 13/12/2010 9.00 0.41 5.00 0.00
Med 16/12/2010 9.44 0.50 5.67 0.48
Med 20/12/2010 10.33 0.59 6.00 0.00
Med 23/12/2010 11.42 0.60 6.56 0.50
Med 27/12/2010 12.31 0.53 7.36 0.49
Med 30/12/2010 12.69 0.47 8.33 0.48
Med 5/01/2011 13.28 0.51 10.53 0.81
Med 10/01/2011 13.50 0.51 12.42 0.97
Med 13/01/2011 13.50 0.51 13.42 0.55
Med 17/01/2011 13.50 0.51 13.50 0.51
Nil 15/11/2010 3.83 0.38 1.00 0.00
Nil 19/11/2010 4.35 0.49 2.00 0.00
Nil 23/11/2010 5.00 0.00 2.42 0.50
Nil 25/11/2010 5.39 0.49 3.00 0.00
Nil 29/11/2010 6.28 0.45 3.28 0.45
Nil 2/12/2010 7.03 0.38 3.97 0.17
Nil 6/12/2010 7.72 0.45 4.36 0.49
Nil 10/12/2010 8.25 0.50 4.94 0.23
Nil 13/12/2010 8.97 0.45 5.03 0.17
Nil 16/12/2010 9.44 0.56 5.75 0.44
Nil 20/12/2010 10.39 0.64 6.03 0.17
Nil 23/12/2010 11.25 0.55 6.61 0.49
Nil 27/12/2010 12.14 0.59 7.31 0.47
Nil 30/12/2010 12.67 0.48 8.14 0.54
Nil 5/01/2011 13.22 0.48 10.22 1.38
Nil 10/01/2011 13.58 0.60 11.97 0.97
Nil 13/01/2011 13.72 0.70 13.03 0.94
Nil 17/01/2011 13.81 0.75 13.67 0.63
