!Title = 02-2008-LINC-MAIZ-PLAS     
Variety Mulch Sow Date Silk Silkerror
() () () () (apsimcode) (stdev)
34K77 Bare Early 23/01/2009 * *
34K77 Bare Early 25/01/2009 * *
34K77 Bare Early 26/01/2009 * *
34K77 Bare Early 28/01/2009 * *
34K77 Bare Early 30/01/2009 * *
34K77 Bare Early 2/02/2009 * *
34K77 Bare Early 5/02/2009 * *
34K77 Bare Early 7/02/2009 * *
34K77 Bare Early 9/02/2009 * *
34K77 Bare Early 11/02/2009 * *
34K77 Bare Early 13/02/2009 * *
34K77 Bare Early 14/02/2009 * *
34K77 Bare Early 16/02/2009 * *
34K77 Bare Early 18/02/2009 * *
34K77 Bare Early 21/02/2009 * *
34K77 Bare Early 23/02/2009 * *
34K77 Bare Early 25/02/2009 * *
34K77 Bare Early 27/02/2009 * *
34K77 Bare Early 2/03/2009 * *
34K77 Bare Early 6/03/2009 * *
34K77 Bare Late 23/01/2009 * *
34K77 Bare Late 25/01/2009 * *
34K77 Bare Late 26/01/2009 * *
34K77 Bare Late 28/01/2009 * *
34K77 Bare Late 30/01/2009 * *
34K77 Bare Late 2/02/2009 * *
34K77 Bare Late 5/02/2009 6.00 0.00
34K77 Bare Late 7/02/2009 6.00 0.00
34K77 Bare Late 9/02/2009 6.00 0.00
34K77 Bare Late 11/02/2009 6.00 0.00
34K77 Bare Late 13/02/2009 6.00 0.00
34K77 Bare Late 14/02/2009 6.00 0.00
34K77 Bare Late 16/02/2009 6.00 0.00
34K77 Bare Late 18/02/2009 6.02 0.03
34K77 Bare Late 21/02/2009 6.18 0.14
34K77 Bare Late 23/02/2009 6.38 0.25
34K77 Bare Late 25/02/2009 6.42 0.28
34K77 Bare Late 27/02/2009 6.53 0.20
34K77 Bare Late 2/03/2009 6.72 0.08
34K77 Bare Late 6/03/2009 6.93 0.04
34K77 Plastic Early 23/01/2009 * *
34K77 Plastic Early 25/01/2009 * *
34K77 Plastic Early 26/01/2009 * *
34K77 Plastic Early 28/01/2009 * *
34K77 Plastic Early 30/01/2009 * *
34K77 Plastic Early 2/02/2009 * *
34K77 Plastic Early 5/02/2009 * *
34K77 Plastic Early 7/02/2009 * *
34K77 Plastic Early 9/02/2009 * *
34K77 Plastic Early 11/02/2009 * *
34K77 Plastic Early 13/02/2009 * *
34K77 Plastic Early 14/02/2009 * *
34K77 Plastic Early 16/02/2009 * *
34K77 Plastic Early 18/02/2009 * *
34K77 Plastic Early 21/02/2009 * *
34K77 Plastic Early 23/02/2009 * *
34K77 Plastic Early 25/02/2009 * *
34K77 Plastic Early 27/02/2009 * *
34K77 Plastic Early 2/03/2009 * *
34K77 Plastic Early 6/03/2009 * *
34K77 Plastic Late 23/01/2009 * *
34K77 Plastic Late 25/01/2009 * *
34K77 Plastic Late 26/01/2009 * *
34K77 Plastic Late 28/01/2009 * *
34K77 Plastic Late 30/01/2009 * *
34K77 Plastic Late 2/02/2009 * *
34K77 Plastic Late 5/02/2009 6.02 0.03
34K77 Plastic Late 7/02/2009 6.17 0.13
34K77 Plastic Late 9/02/2009 6.58 0.16
34K77 Plastic Late 11/02/2009 6.85 0.10
34K77 Plastic Late 13/02/2009 6.80 *
34K77 Plastic Late 14/02/2009 6.88 0.08
34K77 Plastic Late 16/02/2009 * *
34K77 Plastic Late 18/02/2009 * *
34K77 Plastic Late 21/02/2009 * *
34K77 Plastic Late 23/02/2009 * *
34K77 Plastic Late 25/02/2009 * *
34K77 Plastic Late 27/02/2009 * *
34K77 Plastic Late 2/03/2009 * *
34K77 Plastic Late 6/03/2009 * *
39G12 Bare Early 23/01/2009 * *
39G12 Bare Early 25/01/2009 * *
39G12 Bare Early 26/01/2009 * *
39G12 Bare Early 28/01/2009 * *
39G12 Bare Early 30/01/2009 * *
39G12 Bare Early 2/02/2009 * *
39G12 Bare Early 5/02/2009 * *
39G12 Bare Early 7/02/2009 * *
39G12 Bare Early 9/02/2009 * *
39G12 Bare Early 11/02/2009 * *
39G12 Bare Early 13/02/2009 * *
39G12 Bare Early 14/02/2009 * *
39G12 Bare Early 16/02/2009 * *
39G12 Bare Early 18/02/2009 * *
39G12 Bare Early 21/02/2009 * *
39G12 Bare Early 23/02/2009 * *
39G12 Bare Early 25/02/2009 * *
39G12 Bare Early 27/02/2009 * *
39G12 Bare Early 2/03/2009 * *
39G12 Bare Early 6/03/2009 * *
39G12 Bare Late 23/01/2009 * *
39G12 Bare Late 25/01/2009 * *
39G12 Bare Late 26/01/2009 * *
