!Title = 02-2008-LINC-MAIZ-PLAS       
Variety Mulch Sow Date LeafLigules LeafLiguleserror LeafTips LeafTipserror
() () () () (n) (stdev) (n) (stdev)
34K77 Bare Early 3/11/2008 2.60 0.20 5.07 0.12
34K77 Bare Early 17/11/2008 1.87 0.81 4.33 0.61
34K77 Bare Late 3/11/2008 * * * *
34K77 Bare Late 17/11/2008 * * * *
34K77 Bare Late 8/01/2009 7.40 0.53 11.60 0.20
34K77 Bare Late 19/01/2009 9.20 0.40 14.27 0.31
34K77 Bare Late 28/01/2009 11.47 0.23 16.40 0.35
34K77 Bare Late 5/02/2009 13.73 0.42 17.47 0.12
34K77 Bare Late 16/02/2009 17.67 1.15 18.80 0.35
34K77 Bare Late 27/02/2009 19.80 0.40 20.00 0.60
34K77 Plastic Early 3/11/2008 5.73 0.12 7.80 0.72
34K77 Plastic Early 17/11/2008 0.80 0.92 3.07 2.21
34K77 Plastic Late 3/11/2008 * * * *
34K77 Plastic Late 17/11/2008 * * * *
34K77 Plastic Late 8/01/2009 9.33 0.64 14.13 0.90
34K77 Plastic Late 19/01/2009 11.40 1.00 16.33 0.81
34K77 Plastic Late 28/01/2009 14.13 1.10 17.40 0.69
34K77 Plastic Late 5/02/2009 16.93 1.53 18.47 0.90
34K77 Plastic Late 16/02/2009 19.67 0.42 19.67 0.42
34K77 Plastic Late 27/02/2009 19.67 0.42 19.67 0.42
39G12 Bare Early 3/11/2008 2.53 0.23 5.13 0.12
39G12 Bare Early 17/11/2008 1.13 0.12 3.13 0.12
39G12 Bare Late 3/11/2008 * * * *
39G12 Bare Late 17/11/2008 * * * *
39G12 Bare Late 8/01/2009 7.40 0.20 12.27 0.70
39G12 Bare Late 19/01/2009 9.33 0.31 14.27 0.23
39G12 Bare Late 28/01/2009 12.40 0.72 15.40 0.40
39G12 Bare Late 5/02/2009 15.20 0.60 15.80 0.20
39G12 Bare Late 16/02/2009 16.07 0.23 16.07 0.23
39G12 Bare Late 27/02/2009 16.07 0.23 16.07 0.23
39G12 Plastic Early 3/11/2008 5.27 0.58 7.80 0.92
39G12 Plastic Early 17/11/2008 0.27 0.31 2.13 1.33
39G12 Plastic Late 3/11/2008 * * * *
39G12 Plastic Late 17/11/2008 * * * *
39G12 Plastic Late 8/01/2009 9.93 1.22 15.00 1.06
39G12 Plastic Late 19/01/2009 12.87 1.63 15.93 0.90
39G12 Plastic Late 28/01/2009 16.87 1.27 17.13 0.81
39G12 Plastic Late 5/02/2009 17.07 0.95 17.20 0.72
39G12 Plastic Late 16/02/2009 17.27 0.61 17.27 0.61
39G12 Plastic Late 27/02/2009 17.27 0.61 17.27 0.61
