!Title = 03-2007-LINC-MAIZ-PLAS    
Variety Mulch Date Silk Silkerror
() () () (apsimcode) (stdev)
38H20 Bare 9/01/2008 * *
38H20 Bare 11/01/2008 * *
38H20 Bare 14/01/2008 * *
38H20 Bare 16/01/2008 * *
38H20 Bare 18/01/2008 6.00 0.00
38H20 Bare 21/01/2008 6.03 0.03
38H20 Bare 23/01/2008 6.23 0.23
38H20 Bare 25/01/2008 6.49 0.36
38H20 Bare 28/01/2008 6.78 0.13
38H20 Bare 30/01/2008 * *
38H20 Bare 1/02/2008 * *
38H20 Plastic 9/01/2008 * *
38H20 Plastic 11/01/2008 6.31 0.18
38H20 Plastic 14/01/2008 6.68 0.17
38H20 Plastic 16/01/2008 6.89 0.13
38H20 Plastic 18/01/2008 6.98 0.03
38H20 Plastic 21/01/2008 7.00 0.00
38H20 Plastic 23/01/2008 * *
38H20 Plastic 25/01/2008 * *
38H20 Plastic 28/01/2008 * *
38H20 Plastic 30/01/2008 * *
38H20 Plastic 1/02/2008 * *
39G12 Bare 9/01/2008 * *
39G12 Bare 11/01/2008 * *
39G12 Bare 14/01/2008 * *
39G12 Bare 16/01/2008 * *
39G12 Bare 18/01/2008 6.00 0.00
39G12 Bare 21/01/2008 6.46 0.17
39G12 Bare 23/01/2008 6.85 0.11
39G12 Bare 25/01/2008 6.95 0.06
39G12 Bare 28/01/2008 6.95 0.00
39G12 Bare 30/01/2008 * *
39G12 Bare 1/02/2008 * *
39G12 Plastic 9/01/2008 * *
39G12 Plastic 11/01/2008 6.49 0.30
39G12 Plastic 14/01/2008 6.73 0.33
39G12 Plastic 16/01/2008 6.89 0.06
39G12 Plastic 18/01/2008 6.95 0.04
39G12 Plastic 21/01/2008 6.95 0.05
39G12 Plastic 23/01/2008 * *
39G12 Plastic 25/01/2008 * *
39G12 Plastic 28/01/2008 * *
39G12 Plastic 30/01/2008 * *
39G12 Plastic 1/02/2008 * *
