!Title = 03-2007-LINC-MAIZ-PLAS      
Variety Mulch Date LeafLigules LeafLiguleserror LeafTips LeafTipserror
() () () (n) (stdev) (n) (stdev)
38H20 Bare 12/11/2007 1.00 0.00 3.40 0.33
38H20 Bare 20/11/2007 2.00 0.00 4.75 0.19
38H20 Bare 28/11/2007 3.00 0.00 6.75 0.25
38H20 Bare 4/12/2007 4.00 0.16 8.05 0.19
38H20 Bare 16/12/2007 5.90 0.12 11.00 0.16
38H20 Bare 22/12/2007 6.65 0.44 12.25 0.19
38H20 Bare 8/01/2008 9.55 0.38 15.50 0.42
38H20 Bare 21/01/2008 13.55 0.81 16.30 0.82
38H20 Plastic 12/11/2007 * * 5.38 0.25
38H20 Plastic 20/11/2007 3.92 0.26 7.83 0.33
38H20 Plastic 28/11/2007 5.70 0.12 10.65 0.30
38H20 Plastic 4/12/2007 6.75 0.38 11.80 0.43
38H20 Plastic 16/12/2007 8.55 0.19 14.40 0.52
38H20 Plastic 22/12/2007 9.50 0.20 15.65 0.38
38H20 Plastic 8/01/2008 14.14 0.36 17.49 0.24
38H20 Plastic 21/01/2008 * * * *
39G12 Bare 12/11/2007 1.00 0.00 3.70 0.26
39G12 Bare 20/11/2007 2.00 0.00 4.85 0.30
39G12 Bare 28/11/2007 3.60 0.28 6.90 0.12
39G12 Bare 4/12/2007 4.30 0.48 8.10 0.26
39G12 Bare 16/12/2007 6.10 0.26 10.60 0.46
39G12 Bare 22/12/2007 6.70 0.12 12.00 0.16
39G12 Bare 8/01/2008 10.10 0.38 15.35 0.55
39G12 Bare 21/01/2008 16.05 0.10 15.85 0.44
39G12 Plastic 12/11/2007 * * 5.88 0.25
39G12 Plastic 20/11/2007 4.25 0.29 8.02 0.24
39G12 Plastic 28/11/2007 5.75 0.34 9.66 0.56
39G12 Plastic 4/12/2007 6.85 0.10 11.51 0.24
39G12 Plastic 16/12/2007 8.05 0.19 13.75 0.34
39G12 Plastic 22/12/2007 9.25 0.44 15.30 0.48
39G12 Plastic 8/01/2008 15.15 1.64 16.70 0.50
39G12 Plastic 21/01/2008 * * * *
