!Title = 06-2008-LINC-MAIZ-SHYB   
Variety Date Silk Silkerror
() () (apsimcode) (stdev)
39G12 21/01/2009 6.02 0.03
39G12 23/01/2009 6.08 0.06
39G12 25/01/2009 6.23 0.03
39G12 26/01/2009 6.33 0.08
39G12 27/01/2009 6.57 0.08
39G12 30/01/2009 6.88 0.08
39V43 21/01/2009 6.13 0.12
39V43 23/01/2009 6.43 0.03
39V43 25/01/2009 6.67 0.16
39V43 26/01/2009 6.78 0.10
39V43 27/01/2009 6.85 0.00
39V43 30/01/2009 6.88 0.08
39D34 21/01/2009 6.07 0.03
39D34 23/01/2009 6.22 0.06
39D34 25/01/2009 6.58 0.06
39D34 26/01/2009 6.73 0.13
39D34 27/01/2009 6.83 0.03
39D34 30/01/2009 6.95 0.05
