!Title = 10-2009-HAWK-MAIZ-PHEN    
Variety Sow Date GrainDM GrainDMerror
() () () (kg/ha) (stdev)
33M54 Early 30/04/2010 8030 1077
33M54 Late 11/05/2010 5905 *
33M54 Late 2/06/2010 5984 *
34D71 Early 30/04/2010 9149 525
34D71 Late 2/06/2010 5772 1053
35Y33 Early 20/04/2010 9582 331
35Y33 Late 11/05/2010 7987 *
35Y33 Late 2/06/2010 7249 *
36H36 Early 20/04/2010 7072 *
36H36 Early 21/04/2010 9139 *
36H36 Late 11/05/2010 6989 895
37D25 Early 20/04/2010 9033 *
37D25 Early 21/04/2010 9446 *
37D25 Late 11/05/2010 6334 251
38P05 Early 20/04/2010 12001 *
38P05 Early 30/04/2010 7508 *
38P05 Late 11/05/2010 6367 458
39G12 Early 20/04/2010 6982 *
39G12 Early 21/04/2010 7301 *
39G12 Late 11/05/2010 6967 1042
CTL100 Early 20/04/2010 7248 *
CTL100 Early 21/04/2010 7027 *
CTL100 Late 11/05/2010 4968 1726
CTL90 Early 20/04/2010 6348 *
CTL90 Early 21/04/2010 6478 *
CTL90 Late 11/05/2010 3900 41
DK624 Early 30/04/2010 8555 1077
DK624 Late 2/06/2010 6289 1221
DKC37-12 Early 20/04/2010 7256 175
DKC37-12 Late 11/05/2010 4345 276
DKC5783 Early 21/04/2010 10132 *
DKC5783 Early 30/04/2010 8258 *
DKC5783 Late 11/05/2010 7356 *
DKC5783 Late 2/06/2010 8880 *
Goldfrank Early 20/04/2010 9814 244
Goldfrank Late 11/05/2010 7025 31
N48K2 Early 21/04/2010 7801 *
N48K2 Early 30/04/2010 7416 *
N48K2 Late 11/05/2010 6323 374
N51-N4 Early 20/04/2010 9839 293
N51-N4 Late 11/05/2010 7169 1565
