!Title = 10-2009-HAWK-MAIZ-PHEN    
Variety Sow Date Emerge Emergeerror
() () () (apsimcode) (stdev)
33M54 Early 10/11/2009 2.86 0.08
33M54 Early 11/11/2009 2.96 0.00
33M54 Early 12/11/2009 2.99 0.02
33M54 Late 30/11/2009 2.68 0.14
33M54 Late 1/12/2009 2.84 0.14
33M54 Late 2/12/2009 2.89 0.06
34D71 Early 10/11/2009 2.91 0.03
34D71 Early 11/11/2009 2.98 0.03
34D71 Early 12/11/2009 2.98 0.03
34D71 Late 30/11/2009 2.48 0.28
34D71 Late 1/12/2009 2.51 0.29
34D71 Late 2/12/2009 2.64 0.32
35Y33 Early 10/11/2009 2.92 0.08
35Y33 Early 11/11/2009 2.98 0.00
35Y33 Early 12/11/2009 2.98 0.00
35Y33 Late 30/11/2009 2.58 0.26
35Y33 Late 1/12/2009 2.43 0.55
35Y33 Late 2/12/2009 2.71 0.20
36H36 Early 10/11/2009 2.87 0.06
36H36 Early 11/11/2009 2.97 0.02
36H36 Early 12/11/2009 2.99 0.02
36H36 Late 30/11/2009 2.51 0.35
36H36 Late 1/12/2009 2.61 0.34
36H36 Late 2/12/2009 2.67 0.28
37D25 Early 10/11/2009 2.80 0.22
37D25 Early 11/11/2009 2.97 0.05
37D25 Early 12/11/2009 3.00 0.00
37D25 Late 30/11/2009 2.58 0.26
37D25 Late 1/12/2009 2.64 0.29
37D25 Late 2/12/2009 2.78 0.18
38P05 Early 10/11/2009 2.93 0.00
38P05 Early 11/11/2009 2.97 0.02
38P05 Early 12/11/2009 2.97 0.02
38P05 Late 30/11/2009 2.66 0.32
38P05 Late 1/12/2009 2.74 0.25
38P05 Late 2/12/2009 2.76 0.25
39G12 Early 10/11/2009 2.87 0.12
39G12 Early 11/11/2009 3.00 0.00
39G12 Early 12/11/2009 3.00 0.00
39G12 Late 30/11/2009 2.73 0.17
39G12 Late 1/12/2009 2.84 0.11
39G12 Late 2/12/2009 2.87 0.09
CTL100 Early 10/11/2009 2.38 0.02
CTL100 Early 11/11/2009 2.77 0.05
CTL100 Early 12/11/2009 2.88 0.08
CTL100 Late 30/11/2009 2.25 0.02
CTL100 Late 1/12/2009 2.51 0.17
CTL100 Late 2/12/2009 2.76 0.28
CTL90 Early 10/11/2009 2.98 0.03
CTL90 Early 11/11/2009 3.00 0.00
CTL90 Early 12/11/2009 3.00 0.00
CTL90 Late 30/11/2009 2.83 0.15
CTL90 Late 1/12/2009 2.85 0.15
CTL90 Late 2/12/2009 2.88 0.11
DK624 Early 10/11/2009 2.79 0.05
DK624 Early 11/11/2009 2.98 0.03
DK624 Early 12/11/2009 3.00 0.00
DK624 Late 30/11/2009 2.83 0.25
DK624 Late 1/12/2009 2.90 0.14
DK624 Late 2/12/2009 2.92 0.11
DKC37-12 Early 10/11/2009 2.52 0.00
DKC37-12 Early 11/11/2009 2.80 0.12
DKC37-12 Early 12/11/2009 2.96 0.03
DKC37-12 Late 30/11/2009 2.32 0.14
DKC37-12 Late 1/12/2009 2.59 0.18
DKC37-12 Late 2/12/2009 2.64 0.23
DKC5783 Early 10/11/2009 2.96 0.03
DKC5783 Early 11/11/2009 3.00 0.00
DKC5783 Early 12/11/2009 3.00 0.00
DKC5783 Late 30/11/2009 2.76 0.03
DKC5783 Late 1/12/2009 2.80 0.09
DKC5783 Late 2/12/2009 2.88 0.08
Goldfrank Early 10/11/2009 2.96 0.06
Goldfrank Early 11/11/2009 3.00 0.00
Goldfrank Early 12/11/2009 3.00 0.00
Goldfrank Late 30/11/2009 2.54 0.25
Goldfrank Late 1/12/2009 2.62 0.20
Goldfrank Late 2/12/2009 2.70 0.22
N48K2 Early 10/11/2009 2.85 0.12
N48K2 Early 11/11/2009 2.98 0.00
N48K2 Early 12/11/2009 2.98 0.00
N48K2 Late 30/11/2009 2.71 0.20
N48K2 Late 1/12/2009 2.74 0.15
N48K2 Late 2/12/2009 2.80 0.09
N51-N4 Early 10/11/2009 2.90 0.05
N51-N4 Early 11/11/2009 2.97 0.02
N51-N4 Early 12/11/2009 2.97 0.02
N51-N4 Late 30/11/2009 2.68 0.35
N51-N4 Late 1/12/2009 2.75 0.35
N51-N4 Late 2/12/2009 2.83 0.25
