!Title = 10-2009-HAWK-MAIZ-PHEN    
Variety Sow Date Silk Silkerror
() () () (apsimcode) (stdev)
33M54 Early 14/01/2010 * *
33M54 Early 15/01/2010 * *
33M54 Early 18/01/2010 * *
33M54 Early 20/01/2010 * *
33M54 Early 22/01/2010 * *
33M54 Early 25/01/2010 * *
33M54 Early 27/01/2010 * *
33M54 Early 29/01/2010 6.10 0.03
33M54 Early 1/02/2010 6.80 0.00
33M54 Early 3/02/2010 6.94 0.08
33M54 Early 5/02/2010 6.96 *
33M54 Early 8/02/2010 * *
33M54 Late 29/01/2010 * *
33M54 Late 1/02/2010 * *
33M54 Late 3/02/2010 * *
33M54 Late 5/02/2010 * *
33M54 Late 8/02/2010 * *
33M54 Late 10/02/2010 6.14 0.14
33M54 Late 12/02/2010 6.56 0.06
33M54 Late 15/02/2010 6.88 0.00
33M54 Late 17/02/2010 6.96 *
34D71 Early 14/01/2010 * *
34D71 Early 15/01/2010 * *
34D71 Early 18/01/2010 * *
34D71 Early 20/01/2010 * *
34D71 Early 22/01/2010 * *
34D71 Early 25/01/2010 6.24 0.17
34D71 Early 27/01/2010 6.62 0.31
34D71 Early 29/01/2010 6.90 0.14
34D71 Early 1/02/2010 6.92 *
34D71 Early 3/02/2010 * *
34D71 Early 5/02/2010 * *
34D71 Early 8/02/2010 * *
34D71 Late 29/01/2010 * *
34D71 Late 1/02/2010 * *
34D71 Late 3/02/2010 * *
34D71 Late 5/02/2010 6.08 *
34D71 Late 8/02/2010 6.36 0.17
34D71 Late 10/02/2010 6.58 0.14
34D71 Late 12/02/2010 6.72 0.23
34D71 Late 15/02/2010 6.88 0.06
34D71 Late 17/02/2010 * *
35Y33 Early 14/01/2010 * *
35Y33 Early 15/01/2010 * *
35Y33 Early 18/01/2010 * *
35Y33 Early 20/01/2010 6.06 0.03
35Y33 Early 22/01/2010 6.62 0.03
35Y33 Early 25/01/2010 6.96 0.00
35Y33 Early 27/01/2010 7.00 0.00
35Y33 Early 29/01/2010 * *
35Y33 Early 1/02/2010 * *
35Y33 Early 3/02/2010 * *
35Y33 Early 5/02/2010 * *
35Y33 Early 8/02/2010 * *
35Y33 Late 29/01/2010 * *
35Y33 Late 1/02/2010 * *
35Y33 Late 3/02/2010 * *
35Y33 Late 5/02/2010 6.40 0.06
35Y33 Late 8/02/2010 6.66 0.25
35Y33 Late 10/02/2010 6.80 0.17
35Y33 Late 12/02/2010 6.94 0.03
35Y33 Late 15/02/2010 6.96 *
35Y33 Late 17/02/2010 * *
36H36 Early 14/01/2010 * *
36H36 Early 15/01/2010 * *
36H36 Early 18/01/2010 * *
36H36 Early 20/01/2010 6.08 0.06
36H36 Early 22/01/2010 6.38 0.48
36H36 Early 25/01/2010 7.00 0.00
36H36 Early 27/01/2010 * *
36H36 Early 29/01/2010 * *
36H36 Early 1/02/2010 * *
36H36 Early 3/02/2010 * *
36H36 Early 5/02/2010 * *
36H36 Early 8/02/2010 * *
36H36 Late 29/01/2010 * *
36H36 Late 1/02/2010 * *
36H36 Late 3/02/2010 6.18 0.03
36H36 Late 5/02/2010 6.62 0.25
36H36 Late 8/02/2010 6.76 0.17
36H36 Late 10/02/2010 6.90 0.08
36H36 Late 12/02/2010 6.96 *
36H36 Late 15/02/2010 * *
36H36 Late 17/02/2010 * *
37D25 Early 14/01/2010 * *
37D25 Early 15/01/2010 * *
37D25 Early 18/01/2010 * *
37D25 Early 20/01/2010 6.24 0.06
37D25 Early 22/01/2010 6.68 0.06
37D25 Early 25/01/2010 6.92 0.06
37D25 Early 27/01/2010 6.98 0.03
37D25 Early 29/01/2010 7.00 *
37D25 Early 1/02/2010 * *
37D25 Early 3/02/2010 * *
37D25 Early 5/02/2010 * *
37D25 Early 8/02/2010 * *
37D25 Late 29/01/2010 * *
37D25 Late 1/02/2010 * *
37D25 Late 3/02/2010 6.16 0.06
37D25 Late 5/02/2010 6.50 0.14
37D25 Late 8/02/2010 6.86 0.14
37D25 Late 10/02/2010 6.96 *
37D25 Late 12/02/2010 * *
37D25 Late 15/02/2010 * *
37D25 Late 17/02/2010 * *
38P05 Early 14/01/2010 * *
38P05 Early 15/01/2010 6.04 *
38P05 Early 18/01/2010 6.24 *
38P05 Early 20/01/2010 6.64 0.17
38P05 Early 22/01/2010 6.98 0.03
38P05 Early 25/01/2010 7.00 *
38P05 Early 27/01/2010 * *
38P05 Early 29/01/2010 * *
38P05 Early 1/02/2010 * *
38P05 Early 3/02/2010 * *
38P05 Early 5/02/2010 * *
38P05 Early 8/02/2010 * *
38P05 Late 29/01/2010 * *
38P05 Late 1/02/2010 6.34 0.03
38P05 Late 3/02/2010 6.72 0.06
38P05 Late 5/02/2010 6.88 0.06
38P05 Late 8/02/2010 6.92 0.06
38P05 Late 10/02/2010 6.92 *
38P05 Late 12/02/2010 7.00 *
38P05 Late 15/02/2010 * *
38P05 Late 17/02/2010 * *
39G12 Early 14/01/2010 6.18 0.08
39G12 Early 15/01/2010 6.46 0.03
39G12 Early 18/01/2010 7.00 0.00
39G12 Early 20/01/2010 * *
39G12 Early 22/01/2010 * *
39G12 Early 25/01/2010 * *
39G12 Early 27/01/2010 * *
39G12 Early 29/01/2010 * *
39G12 Early 1/02/2010 * *
39G12 Early 3/02/2010 * *
39G12 Early 5/02/2010 * *
39G12 Early 8/02/2010 * *
39G12 Late 29/01/2010 6.32 *
39G12 Late 1/02/2010 6.72 0.11
39G12 Late 3/02/2010 6.80 0.06
39G12 Late 5/02/2010 6.88 0.06
39G12 Late 8/02/2010 6.96 0.06
39G12 Late 10/02/2010 7.00 *
39G12 Late 12/02/2010 * *
39G12 Late 15/02/2010 * *
39G12 Late 17/02/2010 * *
CTL100 Early 14/01/2010 * *
CTL100 Early 15/01/2010 * *
CTL100 Early 18/01/2010 6.04 0.00
CTL100 Early 20/01/2010 6.06 0.03
CTL100 Early 22/01/2010 6.20 0.06
CTL100 Early 25/01/2010 6.60 0.23
CTL100 Early 27/01/2010 6.84 0.17
CTL100 Early 29/01/2010 6.92 0.11
CTL100 Early 1/02/2010 7.00 *
CTL100 Early 3/02/2010 * *
CTL100 Early 5/02/2010 * *
CTL100 Early 8/02/2010 * *
CTL100 Late 29/01/2010 * *
CTL100 Late 1/02/2010 * *
CTL100 Late 3/02/2010 * *
CTL100 Late 5/02/2010 6.12 *
CTL100 Late 8/02/2010 6.40 0.17
CTL100 Late 10/02/2010 6.64 0.06
CTL100 Late 12/02/2010 6.86 0.08
CTL100 Late 15/02/2010 6.96 0.06
CTL100 Late 17/02/2010 6.92 *
CTL90 Early 14/01/2010 * *
CTL90 Early 15/01/2010 * *
CTL90 Early 18/01/2010 6.08 *
CTL90 Early 20/01/2010 6.36 0.11
CTL90 Early 22/01/2010 6.76 0.00
CTL90 Early 25/01/2010 6.98 0.03
CTL90 Early 27/01/2010 7.00 *
CTL90 Early 29/01/2010 * *
CTL90 Early 1/02/2010 * *
CTL90 Early 3/02/2010 * *
CTL90 Early 5/02/2010 * *
CTL90 Early 8/02/2010 * *
CTL90 Late 29/01/2010 * *
CTL90 Late 1/02/2010 * *
CTL90 Late 3/02/2010 6.24 0.11
CTL90 Late 5/02/2010 6.54 0.03
CTL90 Late 8/02/2010 6.78 0.03
CTL90 Late 10/02/2010 6.86 0.03
CTL90 Late 12/02/2010 6.96 0.00
CTL90 Late 15/02/2010 * *
CTL90 Late 17/02/2010 * *
DK624 Early 14/01/2010 * *
DK624 Early 15/01/2010 * *
DK624 Early 18/01/2010 * *
DK624 Early 20/01/2010 * *
DK624 Early 22/01/2010 * *
DK624 Early 25/01/2010 * *
DK624 Early 27/01/2010 * *
DK624 Early 29/01/2010 * *
DK624 Early 1/02/2010 * *
DK624 Early 3/02/2010 6.50 0.54
DK624 Early 5/02/2010 6.74 0.25
DK624 Early 8/02/2010 6.98 0.03
DK624 Late 29/01/2010 * *
DK624 Late 1/02/2010 * *
DK624 Late 3/02/2010 * *
DK624 Late 5/02/2010 * *
DK624 Late 8/02/2010 * *
DK624 Late 10/02/2010 * *
DK624 Late 12/02/2010 6.08 0.00
DK624 Late 15/02/2010 6.76 0.06
DK624 Late 17/02/2010 6.80 *
DKC37-12 Early 14/01/2010 * *
DKC37-12 Early 15/01/2010 6.12 0.11
DKC37-12 Early 18/01/2010 6.54 0.08
DKC37-12 Early 20/01/2010 6.92 0.06
DKC37-12 Early 22/01/2010 6.98 0.03
DKC37-12 Early 25/01/2010 6.96 *
DKC37-12 Early 27/01/2010 7.00 *
DKC37-12 Early 29/01/2010 * *
DKC37-12 Early 1/02/2010 * *
DKC37-12 Early 3/02/2010 * *
DKC37-12 Early 5/02/2010 * *
DKC37-12 Early 8/02/2010 * *
DKC37-12 Late 29/01/2010 * *
DKC37-12 Late 1/02/2010 6.40 0.06
DKC37-12 Late 3/02/2010 6.70 0.20
DKC37-12 Late 5/02/2010 6.86 0.08
DKC37-12 Late 8/02/2010 6.96 0.06
DKC37-12 Late 10/02/2010 6.96 *
DKC37-12 Late 12/02/2010 * *
DKC37-12 Late 15/02/2010 * *
DKC37-12 Late 17/02/2010 * *
DKC5783 Early 14/01/2010 * *
DKC5783 Early 15/01/2010 * *
DKC5783 Early 18/01/2010 * *
DKC5783 Early 20/01/2010 * *
DKC5783 Early 22/01/2010 6.08 0.00
DKC5783 Early 25/01/2010 6.80 0.06
DKC5783 Early 27/01/2010 6.96 0.00
DKC5783 Early 29/01/2010 7.00 0.00
DKC5783 Early 1/02/2010 7.00 *
DKC5783 Early 3/02/2010 * *
DKC5783 Early 5/02/2010 * *
DKC5783 Early 8/02/2010 * *
DKC5783 Late 29/01/2010 * *
DKC5783 Late 1/02/2010 * *
DKC5783 Late 3/02/2010 * *
DKC5783 Late 5/02/2010 6.08 *
DKC5783 Late 8/02/2010 6.72 0.06
DKC5783 Late 10/02/2010 6.82 0.08
DKC5783 Late 12/02/2010 6.88 0.06
DKC5783 Late 15/02/2010 6.96 *
DKC5783 Late 17/02/2010 * *
Goldfrank Early 14/01/2010 * *
Goldfrank Early 15/01/2010 * *
Goldfrank Early 18/01/2010 * *
Goldfrank Early 20/01/2010 6.12 *
Goldfrank Early 22/01/2010 6.80 0.06
Goldfrank Early 25/01/2010 6.96 0.06
Goldfrank Early 27/01/2010 7.00 *
Goldfrank Early 29/01/2010 * *
Goldfrank Early 1/02/2010 * *
Goldfrank Early 3/02/2010 * *
Goldfrank Early 5/02/2010 * *
Goldfrank Early 8/02/2010 * *
Goldfrank Late 29/01/2010 * *
Goldfrank Late 1/02/2010 * *
Goldfrank Late 3/02/2010 6.08 *
Goldfrank Late 5/02/2010 6.58 0.14
Goldfrank Late 8/02/2010 6.84 0.17
Goldfrank Late 10/02/2010 6.76 *
Goldfrank Late 12/02/2010 7.00 *
Goldfrank Late 15/02/2010 * *
Goldfrank Late 17/02/2010 * *
N48K2 Early 14/01/2010 * *
N48K2 Early 15/01/2010 * *
N48K2 Early 18/01/2010 * *
N48K2 Early 20/01/2010 * *
N48K2 Early 22/01/2010 6.04 *
N48K2 Early 25/01/2010 6.42 0.42
N48K2 Early 27/01/2010 6.80 0.28
N48K2 Early 29/01/2010 6.84 *
N48K2 Early 1/02/2010 7.00 *
N48K2 Early 3/02/2010 * *
N48K2 Early 5/02/2010 * *
N48K2 Early 8/02/2010 * *
N48K2 Late 29/01/2010 * *
N48K2 Late 1/02/2010 * *
N48K2 Late 3/02/2010 * *
N48K2 Late 5/02/2010 6.08 0.06
N48K2 Late 8/02/2010 6.68 0.23
N48K2 Late 10/02/2010 6.84 0.17
N48K2 Late 12/02/2010 6.88 *
N48K2 Late 15/02/2010 6.92 *
N48K2 Late 17/02/2010 6.92 *
N51-N4 Early 14/01/2010 * *
N51-N4 Early 15/01/2010 * *
N51-N4 Early 18/01/2010 * *
N51-N4 Early 20/01/2010 * *
N51-N4 Early 22/01/2010 6.08 *
N51-N4 Early 25/01/2010 6.88 0.00
N51-N4 Early 27/01/2010 6.98 0.03
N51-N4 Early 29/01/2010 7.00 *
N51-N4 Early 1/02/2010 7.00 *
N51-N4 Early 3/02/2010 * *
N51-N4 Early 5/02/2010 * *
N51-N4 Early 8/02/2010 * *
N51-N4 Late 29/01/2010 * *
N51-N4 Late 1/02/2010 * *
N51-N4 Late 3/02/2010 * *
N51-N4 Late 5/02/2010 6.24 *
N51-N4 Late 8/02/2010 6.74 0.31
N51-N4 Late 10/02/2010 6.82 0.25
N51-N4 Late 12/02/2010 6.76 *
N51-N4 Late 15/02/2010 6.96 *
N51-N4 Late 17/02/2010 * *
