!Title = 22-2006-CHER-MAIZ-NITR         
NitrogenTreat Date LeafDM LeafDMerror StemDM StemDMerror EarDM EarDMerror AboveDM AboveDMerror
() () (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev)
Med 27/02/2007 2305 135 5257 197 1388 265 8950 390
Med 16/03/2007 2296 223 6364 438 4044 444 12704 574
Med 12/04/2007 2098 72 4548 121 9695 1025 16341 1040
High 27/02/2007 2162 374 4862 896 1287 541 8311 1670
High 16/03/2007 2276 159 6122 471 4178 488 12577 177
High 12/04/2007 1967 138 4698 839 9693 1295 16359 2039
Low 27/02/2007 2246 80 3876 2511 1497 462 5714 4183
Low 16/03/2007 2158 147 6086 412 4138 796 12382 1320
Low 12/04/2007 1912 68 4258 261 9340 508 15510 571
VLow 27/02/2007 2080 133 4842 396 2233 2580 9155 2517
VLow 16/03/2007 2164 149 6165 555 4004 365 12333 838
VLow 12/04/2007 2033 288 4840 457 9988 1236 16860 1908
