!Title = 23-2012-LINC-MAIZ-RAIN                  
NitrogenTreat WaterTreat Date LAI LAIerror LeafDM LeafDMerror StemDM StemDMerror HuskDM HuskDMerror RachisDM RachisDMerror GrainDM GrainDMerror SenesDM SenesDMerror AboveDM AboveDMerror
() () () (m2/m2) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev) (kg/ha) (stdev)
Nil IrrigFull 17/12/2012 0.8 0.1 330 36 203 50 0 0 0 0 0 0 0 0 533 81
Nil IrrigFull 28/01/2013 4.2 0.4 2135 304 6111 996 0 0 0 0 0 0 173 117 8419 1365
Nil IrrigFull 20/02/2013 3.9 0.2 2152 138 5478 556 1548 62 1831 109 2898 242 304 69 14211 638
Nil IrrigFull 13/03/2013 3.6 0.3 2043 265 3955 590 1049 145 1827 295 8571 1357 354 57 17799 2564
Nil IrrigFull 10/04/2013 2.1 0.2 1275 150 4255 641 949 191 1750 368 10995 1713 984 220 20208 3112
Nil Dry 17/12/2012 0.8 0.1 349 42 213 52 0 0 0 0 0 0 0 0 562 91
Nil Dry 28/01/2013 2.4 0.1 1320 61 3627 328 0 0 0 0 0 0 488 44 5435 381
Nil Dry 20/02/2013 1.8 0.1 934 83 2555 309 654 65 859 93 1140 220 709 121 6851 771
Nil Dry 13/03/2013 1.6 0.2 814 162 1736 315 428 63 860 160 3408 674 708 113 7954 1376
Nil Dry 10/04/2013 0.1 0.1 51 43 1676 154 364 57 731 100 3464 529 1391 140 7677 902
VLow IrrigFull 17/12/2012 0.8 0.0 357 19 224 11 0 0 0 0 0 0 0 0 581 22
VLow IrrigFull 28/01/2013 5.0 0.5 2724 400 8122 1125 0 0 0 0 0 0 154 26 11000 1517
VLow IrrigFull 20/02/2013 4.7 0.3 2686 269 7805 981 2217 415 2395 208 3488 604 269 111 18860 1409
VLow IrrigFull 13/03/2013 4.6 0.2 2743 185 6466 886 1697 154 2572 144 10703 651 278 133 24459 1901
VLow IrrigFull 10/04/2013 2.2 0.7 1437 465 5690 288 1256 156 2125 104 12803 558 1116 330 24427 816
VLow Dry 17/12/2012 1.0 0.2 439 89 280 57 0 0 0 0 0 0 0 0 719 132
VLow Dry 28/01/2013 3.0 0.3 1664 144 4355 642 0 0 0 0 0 0 382 17 6401 787
VLow Dry 20/02/2013 2.5 0.4 1351 289 3174 716 840 223 1262 227 1929 292 627 59 9183 1714
VLow Dry 13/03/2013 1.6 0.7 907 374 2258 477 541 230 1057 358 4705 1362 991 212 10459 2626
VLow Dry 10/04/2013 0.0 0.1 22 44 2327 762 511 160 1042 428 5264 2223 1885 285 11051 3778
Med IrrigFull 17/12/2012 1.0 0.2 426 51 250 34 0 0 0 0 0 0 0 0 675 75
Med IrrigFull 28/01/2013 5.3 1.0 3018 757 9470 2333 0 0 0 0 0 0 80 88 12568 3002
Med IrrigFull 20/02/2013 4.9 1.0 3139 859 9036 2869 2915 1416 2768 698 3874 645 81 152 21813 6303
Med IrrigFull 13/03/2013 5.0 0.5 3122 457 7157 1445 1914 345 2737 427 11974 1420 51 102 26955 3552
Med IrrigFull 10/04/2013 2.8 0.4 1911 211 6577 715 1379 219 2363 181 15209 1158 900 230 28339 2094
Med Dry 17/12/2012 0.9 0.1 421 37 263 50 0 0 0 0 0 0 0 0 684 73
Med Dry 28/01/2013 3.3 0.5 1912 357 5159 1099 0 0 0 0 0 0 497 41 7568 1447
Med Dry 20/02/2013 2.6 0.3 1437 215 3331 587 989 160 1301 502 2130 1107 641 133 9829 2592
Med Dry 13/03/2013 2.1 0.2 1096 54 2094 180 550 52 1147 71 5120 482 764 111 10771 651
Med Dry 10/04/2013 0.3 0.3 142 122 2262 751 554 177 1211 453 6202 2647 1557 421 11928 4309
