!Title = 23-2012-LINC-MAIZ-RAIN    
NitrogenTreat WaterTreat Date LightInt LightInterror
() () () () (stdev)
Nil IrrigFull 3/12/2012 0.09 0.01
Nil IrrigFull 10/12/2012 0.18 0.01
Nil IrrigFull 20/12/2012 0.40 0.05
Nil IrrigFull 30/12/2012 0.69 0.05
Nil IrrigFull 8/01/2013 0.77 0.11
Nil IrrigFull 18/01/2013 0.87 0.02
Nil IrrigFull 25/01/2013 0.94 0.02
Nil IrrigFull 1/02/2013 0.94 0.01
Nil IrrigFull 7/02/2013 0.90 0.01
Nil IrrigFull 14/02/2013 0.94 0.02
Nil IrrigFull 19/02/2013 0.93 0.03
Nil IrrigFull 28/02/2013 0.92 0.04
Nil IrrigFull 5/03/2013 0.88 0.03
Nil IrrigFull 14/03/2013 0.89 0.02
Nil IrrigFull 21/03/2013 0.91 0.04
Nil IrrigFull 2/04/2013 0.59 0.04
Nil Dry 3/12/2012 0.07 0.01
Nil Dry 10/12/2012 0.18 0.04
Nil Dry 20/12/2012 0.39 0.04
Nil Dry 30/12/2012 0.51 0.03
Nil Dry 8/01/2013 0.44 0.04
Nil Dry 18/01/2013 0.62 0.09
Nil Dry 25/01/2013 0.75 0.07
Nil Dry 1/02/2013 0.70 0.09
Nil Dry 7/02/2013 0.71 0.07
Nil Dry 14/02/2013 0.66 0.10
Nil Dry 19/02/2013 0.59 0.14
Nil Dry 28/02/2013 0.56 0.12
Nil Dry 5/03/2013 0.50 0.13
Nil Dry 14/03/2013 0.43 0.09
Nil Dry 21/03/2013 0.36 0.10
Nil Dry 2/04/2013 0.18 0.03
VLow IrrigFull 3/12/2012 0.07 0.01
VLow IrrigFull 10/12/2012 0.18 0.01
VLow IrrigFull 20/12/2012 0.40 0.03
VLow IrrigFull 30/12/2012 0.74 0.05
VLow IrrigFull 8/01/2013 0.91 0.02
VLow IrrigFull 18/01/2013 0.93 0.02
VLow IrrigFull 25/01/2013 0.97 0.01
VLow IrrigFull 1/02/2013 0.97 0.01
VLow IrrigFull 7/02/2013 0.96 0.01
VLow IrrigFull 14/02/2013 0.94 0.01
VLow IrrigFull 19/02/2013 0.96 0.02
VLow IrrigFull 28/02/2013 0.96 0.01
VLow IrrigFull 5/03/2013 0.94 0.02
VLow IrrigFull 14/03/2013 0.89 0.07
VLow IrrigFull 21/03/2013 0.89 0.07
VLow IrrigFull 2/04/2013 0.58 0.08
VLow Dry 3/12/2012 0.09 0.02
VLow Dry 10/12/2012 0.19 0.02
VLow Dry 20/12/2012 0.42 0.06
VLow Dry 30/12/2012 0.54 0.04
VLow Dry 8/01/2013 0.49 0.08
VLow Dry 18/01/2013 0.68 0.09
VLow Dry 25/01/2013 0.74 0.11
VLow Dry 1/02/2013 0.71 0.09
VLow Dry 7/02/2013 0.68 0.11
VLow Dry 14/02/2013 0.63 0.13
VLow Dry 19/02/2013 0.66 0.10
VLow Dry 28/02/2013 0.49 0.08
VLow Dry 5/03/2013 0.45 0.03
VLow Dry 14/03/2013 0.34 0.14
VLow Dry 21/03/2013 0.26 0.14
VLow Dry 2/04/2013 0.17 0.04
Med IrrigFull 3/12/2012 0.08 0.01
Med IrrigFull 10/12/2012 0.18 0.04
Med IrrigFull 20/12/2012 0.48 0.02
Med IrrigFull 30/12/2012 0.75 0.05
Med IrrigFull 8/01/2013 0.88 0.05
Med IrrigFull 18/01/2013 0.93 0.02
Med IrrigFull 25/01/2013 0.97 0.02
Med IrrigFull 1/02/2013 0.97 0.02
Med IrrigFull 7/02/2013 0.96 0.02
Med IrrigFull 14/02/2013 0.97 0.02
Med IrrigFull 19/02/2013 0.97 0.01
Med IrrigFull 28/02/2013 0.95 0.02
Med IrrigFull 5/03/2013 0.95 0.02
Med IrrigFull 14/03/2013 0.91 0.05
Med IrrigFull 21/03/2013 0.92 0.02
Med IrrigFull 2/04/2013 0.70 0.07
Med Dry 3/12/2012 0.08 0.04
Med Dry 10/12/2012 0.18 0.06
Med Dry 20/12/2012 0.41 0.06
Med Dry 30/12/2012 0.56 0.03
Med Dry 8/01/2013 0.45 0.07
Med Dry 18/01/2013 0.65 0.10
Med Dry 25/01/2013 0.74 0.11
Med Dry 1/02/2013 0.76 0.05
Med Dry 7/02/2013 0.79 0.07
Med Dry 14/02/2013 0.66 0.15
Med Dry 19/02/2013 0.71 0.15
Med Dry 28/02/2013 0.58 0.12
Med Dry 5/03/2013 0.55 0.10
Med Dry 14/03/2013 0.36 0.07
Med Dry 21/03/2013 0.28 0.10
Med Dry 2/04/2013 0.15 0.05
