!Title = 23-2012-LINC-MAIZ-RAIN      
NitrogenTreat WaterTreat Date Tassel Tasselerror Silk Silkerror
() () () (apsimcode) (stdev) (apsimcode) (stdev)
Nil IrrigFull 15/01/2013 5.01 0.03 6.00 0.00
Nil IrrigFull 17/01/2013 5.06 0.08 6.00 0.00
Nil IrrigFull 21/01/2013 5.71 0.18 6.03 0.05
Nil IrrigFull 24/01/2013 6.00 0.00 6.54 0.25
Nil IrrigFull 29/01/2013 6.00 0.00 6.99 0.02
Nil Dry 15/01/2013 5.01 0.03 6.00 0.00
Nil Dry 17/01/2013 5.28 0.31 6.00 0.00
Nil Dry 21/01/2013 5.91 0.06 6.00 0.00
Nil Dry 24/01/2013 5.96 0.05 6.30 0.33
Nil Dry 29/01/2013 6.00 0.00 6.98 0.03
VLow IrrigFull 15/01/2013 5.05 0.04 6.00 0.00
VLow IrrigFull 17/01/2013 5.14 0.08 6.00 0.00
VLow IrrigFull 21/01/2013 5.70 0.12 6.00 0.00
VLow IrrigFull 24/01/2013 5.94 0.05 6.61 0.17
VLow IrrigFull 29/01/2013 6.00 0.00 6.97 0.03
VLow Dry 15/01/2013 5.04 0.05 6.00 0.00
VLow Dry 17/01/2013 5.33 0.18 6.00 0.00
VLow Dry 21/01/2013 5.91 0.05 6.05 0.10
VLow Dry 24/01/2013 5.98 0.03 6.53 0.26
VLow Dry 29/01/2013 6.00 0.00 6.96 0.03
Med IrrigFull 15/01/2013 5.03 0.03 6.00 0.00
Med IrrigFull 17/01/2013 5.12 0.08 6.00 0.00
Med IrrigFull 21/01/2013 5.77 0.19 6.04 0.06
Med IrrigFull 24/01/2013 5.96 0.05 6.62 0.15
Med IrrigFull 29/01/2013 6.00 0.00 6.97 0.05
Med Dry 15/01/2013 5.18 0.13 6.00 0.00
Med Dry 17/01/2013 5.48 0.24 6.00 0.00
Med Dry 21/01/2013 5.87 0.03 6.13 0.17
Med Dry 24/01/2013 6.00 0.00 6.65 0.32
Med Dry 29/01/2013 6.00 0.00 6.97 0.03
