!Title = 23-2012-LINC-MAIZ-RAIN      
NitrogenTreat WaterTreat Date LeafTips LeafTipserror LeafLigules LeafLiguleserror
() () () (n) (stdev) (n) (stdev)
Nil IrrigFull 14/11/2012 3.0 0.00 1.0 0.00
Nil IrrigFull 22/11/2012 4.3 0.46 2.0 0.00
Nil IrrigFull 28/11/2012 5.8 0.48 3.0 0.00
Nil IrrigFull 4/12/2012 7.0 0.36 3.7 0.48
Nil IrrigFull 12/12/2012 8.7 0.48 4.9 0.28
Nil IrrigFull 18/12/2012 10.0 0.69 6.0 0.20
Nil IrrigFull 27/12/2012 12.0 0.72 7.0 0.29
Nil IrrigFull 3/01/2013 13.5 0.78 8.5 0.59
Nil IrrigFull 8/01/2013 14.5 0.59 9.6 0.58
Nil IrrigFull 16/01/2013 15.6 0.49 12.8 0.83
Nil IrrigFull 22/01/2013 16.5 0.51 14.5 0.66
Nil IrrigFull 29/01/2013 16.5 0.51 14.6 0.65
Nil IrrigFull 5/02/2013 16.5 0.51 16.5 0.51
Nil Dry 14/11/2012 3.1 0.28 1.0 0.00
Nil Dry 22/11/2012 4.5 0.51 2.0 0.00
Nil Dry 28/11/2012 5.8 0.38 3.0 0.00
Nil Dry 4/12/2012 7.2 0.64 3.8 0.38
Nil Dry 12/12/2012 9.0 0.62 5.0 0.00
Nil Dry 18/12/2012 10.3 0.64 6.0 0.00
Nil Dry 27/12/2012 12.0 0.69 7.1 0.41
Nil Dry 3/01/2013 13.3 0.76 7.9 0.50
Nil Dry 8/01/2013 14.2 0.64 8.8 0.59
Nil Dry 16/01/2013 16.0 0.69 12.7 0.95
Nil Dry 22/01/2013 16.7 0.55 14.9 0.54
Nil Dry 29/01/2013 16.8 0.51 15.0 0.42
Nil Dry 5/02/2013 16.8 0.51 16.8 0.51
VLow IrrigFull 14/11/2012 3.0 0.20 1.0 0.00
VLow IrrigFull 22/11/2012 4.2 0.38 2.0 0.00
VLow IrrigFull 28/11/2012 5.8 0.38 3.0 0.00
VLow IrrigFull 4/12/2012 7.0 0.55 3.6 0.49
VLow IrrigFull 12/12/2012 8.8 0.56 4.9 0.28
VLow IrrigFull 18/12/2012 10.2 0.59 6.0 0.20
VLow IrrigFull 27/12/2012 12.3 0.62 7.3 0.44
VLow IrrigFull 3/01/2013 14.2 0.56 8.8 0.48
VLow IrrigFull 8/01/2013 15.0 0.42 9.9 0.50
VLow IrrigFull 16/01/2013 15.9 0.41 13.4 0.49
VLow IrrigFull 22/01/2013 16.5 0.51 14.5 0.51
VLow IrrigFull 29/01/2013 16.7 0.48 14.7 0.48
VLow IrrigFull 5/02/2013 16.7 0.48 16.7 0.48
VLow Dry 14/11/2012 3.1 0.28 1.0 0.00
VLow Dry 22/11/2012 4.5 0.51 2.0 0.00
VLow Dry 28/11/2012 5.9 0.41 3.0 0.00
VLow Dry 4/12/2012 7.4 0.49 3.8 0.38
VLow Dry 12/12/2012 9.1 0.34 5.0 0.00
VLow Dry 18/12/2012 10.6 0.58 6.1 0.34
VLow Dry 27/12/2012 12.5 0.72 7.3 0.48
VLow Dry 3/01/2013 13.8 0.64 8.3 0.62
VLow Dry 8/01/2013 14.6 0.71 9.2 0.56
VLow Dry 16/01/2013 16.3 0.68 13.0 0.83
VLow Dry 22/01/2013 16.8 0.53 14.6 0.58
VLow Dry 29/01/2013 16.8 0.64 15.3 0.82
VLow Dry 5/02/2013 16.8 0.64 16.8 0.64
Med IrrigFull 14/11/2012 3.0 0.00 1.0 0.00
Med IrrigFull 22/11/2012 4.3 0.46 2.0 0.00
Med IrrigFull 28/11/2012 5.9 0.28 3.0 0.00
Med IrrigFull 4/12/2012 7.2 0.48 3.8 0.44
Med IrrigFull 12/12/2012 9.0 0.42 5.0 0.00
Med IrrigFull 18/12/2012 10.3 0.55 6.0 0.00
Med IrrigFull 27/12/2012 12.6 0.65 7.4 0.49
Med IrrigFull 3/01/2013 14.3 0.76 8.9 0.45
Med IrrigFull 8/01/2013 15.2 0.51 10.0 0.62
Med IrrigFull 16/01/2013 16.0 0.46 13.3 0.48
Med IrrigFull 22/01/2013 16.5 0.59 14.5 0.59
Med IrrigFull 29/01/2013 16.5 0.59 14.5 0.66
Med IrrigFull 5/02/2013 16.5 0.59 16.5 0.59
Med Dry 14/11/2012 3.0 0.00 1.0 0.00
Med Dry 22/11/2012 4.3 0.46 2.0 0.00
Med Dry 28/11/2012 6.0 0.20 3.0 0.00
Med Dry 4/12/2012 7.2 0.41 3.9 0.28
Med Dry 12/12/2012 9.3 0.48 5.0 0.00
Med Dry 18/12/2012 10.7 0.48 6.1 0.28
Med Dry 27/12/2012 12.6 0.72 7.3 0.44
Med Dry 3/01/2013 13.9 0.61 8.3 0.46
Med Dry 8/01/2013 14.8 0.68 9.3 0.68
Med Dry 16/01/2013 16.3 0.55 13.4 0.97
Med Dry 22/01/2013 16.7 0.46 14.7 0.48
Med Dry 29/01/2013 16.7 0.46 15.0 0.46
Med Dry 5/02/2013 16.7 0.46 16.7 0.46
