!Title = 24-2011-LINC-MAIZ-P21N       
NitrogenTreat Date AboveDM AboveDMerror GrainDM GrainDMerror LAI LAIerror
() () (kg/ha) (stdev) (kg/ha) (stdev) (m2/m2) (stdev)
Nil 17/01/2012 5943 139 * * 4.98 0.30
Nil 20/02/2012 13683 564 * * 4.21 0.41
Nil 26/03/2012 19437 557 * * 3.71 0.43
Nil 30/04/2012 20517 2284 11283 3310 1.08 0.72
Low 17/01/2012 6748 924 * * 5.72 0.73
Low 20/02/2012 15521 804 * * 5.39 0.71
Low 26/03/2012 23466 562 * * 4.64 0.34
Low 30/04/2012 25351 2335 13817 1727 2.01 0.98
VHigh 17/01/2012 7226 301 * * 5.23 0.37
VHigh 20/02/2012 16213 1094 * * 5.51 0.65
VHigh 26/03/2012 25499 1910 * * 4.86 0.35
VHigh 30/04/2012 25022 4091 9963 719 2.19 1.49
Med 17/01/2012 6902 820 * * 5.36 0.70
Med 20/02/2012 15576 538 * * 5.04 0.41
Med 26/03/2012 24795 1896 * * 4.82 0.37
Med 30/04/2012 26930 2159 12385 1460 2.15 0.36
VLow 17/01/2012 6368 1264 * * 5.17 1.03
VLow 20/02/2012 15600 1351 * * 5.33 0.57
VLow 26/03/2012 22818 1927 * * 4.43 0.35
VLow 30/04/2012 24207 3666 11528 2637 1.70 0.71
