!Title = 24-2011-LINC-MAIZ-P21N                 
NitrogenTreat Date SoilMoisture(0-20) SoilMoisture(0-20)error SoilMoisture(20-40) SoilMoisture(20-40)error SoilMoisture(40-60) SoilMoisture(40-60)error SoilMoisture(60-80) SoilMoisture(60-80)error SoilMoisture(80-100) SoilMoisture(80-100)error SoilMoisture(100-120) SoilMoisture(100-120)error SoilMoisture(120-140) SoilMoisture(120-140)error SoilMoisture(140-160) SoilMoisture(140-160)error
() () () (stdev) () (stdev) () (stdev) () (stdev) () (stdev) () (stdev) () (stdev) () (stdev)
Nil 8/12/2011 * * 0.33 0.01 0.30 0.01 0.32 0.02 0.31 0.03 0.33 0.00 0.32 0.01 0.30 0.07
Nil 21/12/2011 * * 0.32 0.01 0.29 0.02 0.32 0.01 0.31 0.04 0.32 0.01 0.31 0.02 0.31 0.06
Nil 5/01/2012 * * 0.30 0.02 0.29 0.01 0.32 0.01 0.31 0.03 0.32 0.02 0.31 0.02 0.30 0.06
Nil 2/02/2012 * * 0.28 0.00 0.26 0.01 0.29 0.01 0.30 0.04 0.30 0.02 0.30 0.03 0.29 0.08
Nil 16/02/2012 * * 0.28 0.00 0.26 0.02 0.28 0.02 0.29 0.04 0.29 0.02 0.29 0.04 0.28 0.09
Nil 2/03/2012 * * 0.31 0.01 0.27 0.03 0.28 0.03 0.28 0.05 0.27 0.01 0.29 0.05 0.26 0.11
Nil 15/03/2012 * * 0.28 0.02 0.25 0.03 0.27 0.04 0.28 0.05 0.26 0.01 0.28 0.06 0.24 0.12
Nil 26/04/2012 * * 0.27 0.01 0.23 0.05 0.23 0.08 0.26 0.06 0.23 0.00 0.27 0.08 0.22 0.15
VHigh 8/12/2011 0.28 0.06 0.30 * 0.30 * 0.32 * 0.29 * 0.20 * 0.35 * 0.37 *
VHigh 21/12/2011 0.24 0.05 0.30 0.02 0.29 0.01 0.32 0.01 0.30 0.02 0.27 0.09 0.27 0.12 0.31 0.08
VHigh 5/01/2012 0.27 * 0.28 0.02 0.28 0.00 0.31 0.01 0.29 0.02 0.26 0.09 0.27 0.12 0.31 0.08
VHigh 2/02/2012 0.20 0.06 0.25 0.03 0.25 0.00 0.29 0.03 0.25 0.04 0.24 0.09 0.26 0.12 0.29 0.09
VHigh 16/02/2012 0.19 0.06 0.25 0.04 0.25 0.00 0.28 0.04 0.23 0.05 0.22 0.09 0.26 0.12 0.29 0.10
VHigh 2/03/2012 0.22 0.05 0.29 0.01 0.27 0.00 0.27 0.05 0.22 0.05 0.21 0.08 0.25 0.13 0.27 0.13
VHigh 15/03/2012 0.18 0.03 0.24 0.03 0.25 0.01 0.26 0.07 0.21 0.06 0.20 0.08 0.24 0.14 0.26 0.14
VHigh 26/04/2012 0.22 0.05 0.23 0.04 0.22 0.02 0.22 0.11 0.18 0.06 0.17 0.07 0.21 0.16 0.23 0.18
