ExpNo	TreatNo	Date	obsValue	Error	Variable
1	1	05/11/2010	2.00	0.00	stage_code
1	1	08/11/2010	2.33	0.19	stage_code
1	1	09/11/2010	2.62	0.17	stage_code
1	1	10/11/2010	2.81	0.10	stage_code
1	1	11/11/2010	2.94	0.07	stage_code
1	1	15/11/2010	3.00	0.00	stage_code
1	2	05/11/2010	2.00	0.00	stage_code
1	2	08/11/2010	2.53	0.06	stage_code
1	2	09/11/2010	2.82	0.03	stage_code
1	2	10/11/2010	2.93	0.03	stage_code
1	2	11/11/2010	2.99	0.02	stage_code
1	2	15/11/2010	3.00	0.00	stage_code
1	2	10/01/2011	5.9	0.09	stage_code
1	2	13/01/2011	6.0	0.02	stage_code
1	2	15/01/2011	6.0	0.02	stage_code
1	2	17/01/2011	6.0	0.00	stage_code
1	2	18/01/2011	6.0	0.00	stage_code
1	2	19/01/2011	6.0	0.00	stage_code
1	2	20/01/2011	6.0	0.00	stage_code
1	2	24/01/2011	6.0	0.00	stage_code
1	1	10/01/2011	5.7	0.21	stage_code
1	1	13/01/2011	5.9	0.07	stage_code
1	1	15/01/2011	6.0	0.05	stage_code
1	1	17/01/2011	6.0	0.00	stage_code
1	1	18/01/2011	6.0	0.00	stage_code
1	1	19/01/2011	6.0	0.00	stage_code
1	1	20/01/2011	6.0	0.00	stage_code
1	1	24/01/2011	6.0	0.00	stage_code
1	2	10/01/2011	6.0	0.00	stage_code
1	2	13/01/2011	6.1	0.06	stage_code
1	2	15/01/2011	6.1	0.05	stage_code
1	2	17/01/2011	6.6	0.25	stage_code
1	2	18/01/2011	6.8	0.19	stage_code
1	2	19/01/2011	6.9	0.09	stage_code
1	2	20/01/2011	6.9	0.08	stage_code
1	2	24/01/2011	7.0	0.00	stage_code
1	1	10/01/2011	6.0	0.00	stage_code
1	1	13/01/2011	6.0	0.03	stage_code
1	1	15/01/2011	6.0	0.03	stage_code
1	1	17/01/2011	6.6	0.17	stage_code
1	1	18/01/2011	6.8	0.13	stage_code
